indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,25088.4,262.95,1.06,24796.5,25108.1,24679.4,24825.45,26373.2,21743.65,21.8,3.41,1.29,11,39,6.84,-4.71
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,67073.2,712.65,1.07,66452.3,67244.05,65573.75,66360.55,70833.65,56192.45,19.45,3.48,1.43,11,39,5.62,-4.75
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,58619.0,201.8,0.35,58239.3,58687.05,57829.85,58417.2,60437.35,47702.9,15.85,2.09,1,5,9,18.41,-2.55
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26799.0,99.9,0.37,26612.2,26842.8,26463.15,26699.1,28065.5,22819.9,17.28,2.82,0.86,4,16,15.66,-3.94
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13257.05,236.8,1.82,13050.1,13288.05,12925.2,13020.25,14118.4,5520.25,27.9,4.37,0.85,3,22,11.74,-5.2
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25655.35,269.5,1.06,25366.85,25677.05,25212.4,25385.85,26975.15,22177.35,21.38,3.42,1.31,22,78,6.65,-4.72
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13949.75,143.95,1.04,13797.65,13965.5,13696.15,13805.8,14700.95,11941.45,22.7,3.54,1.23,55,145,6.84,-4.96
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,22837.0,225.7,1.0,22595.45,22869.7,22408.5,22611.3,24144.2,19519.85,23.24,3.55,1.17,165,334,5.82,-5.24
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,16549.3,199.9,1.22,16357.35,16585.85,16185.05,16349.4,17572.45,13269.65,31.76,4.41,0.83,13,37,10.88,-5.46
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,57667.6,546.8,0.96,57128.6,57826.85,56381.35,57120.8,61548.85,46865.7,31.53,4.2,0.83,33,67,7.82,-6.03
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,16523.35,105.2,0.64,16381.95,16583.7,16136.9,16418.15,19224.95,14084.3,29.47,3.57,0.78,38,61,-2.69,-7.34
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,13.87,-1.23,-8.14,15.1,15.55,13.58,15.1,23.19,8.72,,,,,,-1.6,46.77
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,21249.35,207.55,0.99,21040.25,21313.45,20768.1,21041.8,22650.05,17269.5,31.33,4.3,0.84,49,101,7.46,-5.89
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8024.75,56.15,0.7,7951.05,8057.7,7825.4,7968.6,9282.7,6776.05,29.17,3.56,0.81,18,32,-1.43,-7.3
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,15507.15,86.1,0.56,15396.8,15559.9,15164.2,15421.05,18077.35,13314.7,26.72,3.31,0.76,94,155,-2.81,-7.67
