indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,23366.7,-49.85,-0.21,23478.95,23516.35,23282.65,23416.55,26373.2,22182.55,20.17,3.09,1.24,27,23,-5.59,-2.77
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,70191.95,181.0,0.26,70311.5,70568.95,69814.8,70010.95,72442.15,59896.1,19,3.62,1.43,19,30,4.53,-0.62
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,54496.25,188.4,0.35,54405.2,54865.5,54140.6,54307.85,61764.85,49954.85,13.74,1.77,1.1,4,10,-2.27,-0.09
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,25056.8,25.55,0.1,25085.6,25355.1,24950.65,25031.25,28562.5,23373.95,16.13,2.62,0.88,6,14,-5.04,-2.57
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14107.5,-78.8,-0.56,14227.45,14292.75,14066.55,14186.3,14770.5,6054.2,29.42,4.75,0.61,16,9,8.92,1.13
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,24397.3,-30.4,-0.12,24500.2,24544.6,24301.5,24427.7,26975.15,22720.45,19.94,3.18,1.27,46,53,-3.83,-2.37
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13527.0,-22.85,-0.17,13591.5,13618.45,13473.55,13549.85,14700.95,12396.1,21.28,3.4,1.15,102,97,-2.3,-1.76
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,22465.35,-32.35,-0.14,22569.45,22614.65,22379.05,22497.7,24144.2,20385.65,22.29,3.45,1.09,257,240,-2.05,-1.5
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17198.9,-65.75,-0.38,17323.5,17382.05,17129.0,17264.65,17859.1,14804.55,32.1,4.68,0.61,30,20,5.54,1.18
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,60754.9,-211.75,-0.35,61179.0,61359.15,60508.15,60966.65,62907.5,52032.85,29.15,4.75,0.66,56,44,4.21,0.81
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,18110.3,-10.75,-0.06,18176.1,18229.0,18024.25,18121.05,19224.95,14986.0,30.64,3.52,0.65,56,44,-1.75,-0.4
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,15.79,-0.1,-0.61,15.89,16.37,13.46,15.89,28.91,8.72,0,0,0,,,4.71,-11.84
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,22251.8,-64.15,-0.29,22399.45,22461.4,22172.6,22315.95,23007.1,19218.0,28.48,4.71,0.7,81,68,3.61,0.32
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8909.55,-4.7,-0.05,8938.15,8969.55,8863.9,8914.25,9282.7,7338.35,30.16,3.36,0.66,27,23,0.79,0.09
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,17054.5,1.8,0.01,17112.75,17156.75,16987.65,17052.7,18077.35,14143.45,33.77,3.62,0.69,130,119,-0.69,0.75
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,20347.85,-38.05,-0.19,20460.65,20513.65,20272.95,20385.9,20886.3,17390.85,30.08,4.27,0.7,211,187,2.04,0.47
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,15864.25,-20.85,-0.13,15937.6,15970.5,15803.7,15885.1,17112.15,8254.5,24.28,3.58,0.98,257,240,-1.08,-0.87
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16117.5,-33.75,-0.21,16205.7,16242.25,16057.35,16151.25,17095.2,8318.55,23.61,3.82,0.98,127,121,-0.13,-1.0
