indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,22679.4,348.0,1.56,22899.0,22941.3,22618.6,22331.4,26373.2,21743.65,19.62,3.05,1.39,10,40,-2.1,-9.93
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,61912.75,1562.95,2.59,62118.05,62477.25,61677.4,60349.8,70833.65,57250.25,17.09,3.22,1.63,6,44,-0.74,-11.19
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,51448.65,1173.3,2.33,51433.9,52025.85,51133.55,50275.35,61764.85,49156.95,13.38,1.71,1.17,0,14,1.22,-15.0
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,23981.8,460.0,1.96,24129.2,24275.15,23941.95,23521.8,28562.5,23450.85,15.35,2.51,0.98,3,17,-2.23,-13.95
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,12460.05,301.3,2.48,12510.9,12629.25,12411.2,12158.75,14118.4,5520.25,29.66,4.13,0.73,5,20,9.45,-7.64
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,23272.75,397.25,1.74,23472.25,23528.0,23206.0,22875.5,26975.15,22177.35,19.13,3.08,1.43,16,84,-1.86,-10.14
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,12720.35,228.25,1.83,12820.3,12864.3,12680.4,12492.1,14700.95,11941.45,20.73,3.23,1.31,35,163,-0.69,-9.92
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,20935.15,407.1,1.98,21067.15,21153.25,20867.4,20528.05,24144.2,19519.85,21.24,3.23,1.25,60,438,-0.64,-9.63
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,15295.45,312.1,2.08,15374.05,15500.0,15235.35,14983.35,17572.45,13269.65,32.13,4.08,0.71,13,36,6.06,-8.77
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,53819.15,1169.15,2.22,54075.45,54519.6,53582.95,52650.0,61548.85,46966.6,32.55,4.16,0.78,19,79,5.05,-8.96
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,15709.8,506.0,3.33,15618.8,15848.55,15532.75,15203.8,19224.95,14084.3,25.91,2.97,0.78,5,95,-1.71,-7.2
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,25.01,-2.88,-10.31,27.89,27.89,23.65,27.89,28.91,8.72,0,0,0,,,81.49,82.55
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,19869.1,438.2,2.26,19952.2,20099.95,19783.2,19430.9,22650.05,17269.5,30.61,4.16,0.81,25,123,4.95,-9.05
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,7666.95,201.9,2.7,7661.8,7745.05,7629.6,7465.05,9282.7,6776.05,24.26,2.82,0.81,4,46,0.18,-7.65
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,14749.1,460.65,3.22,14665.25,14844.15,14585.55,14288.45,18077.35,13314.7,25.86,2.99,0.82,19,231,-1.87,-7.13
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,17975.45,451.1,2.57,17991.9,18141.7,17900.15,17524.35,20668.15,15832.85,28.86,3.68,0.81,44,354,2.52,-8.42
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,14506.95,317.85,2.24,14562.9,14643.75,14456.8,14189.1,17112.15,5531.55,22.75,3.26,1.12,60,438,-0.1,-9.12
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,14865.4,290.9,2.0,14960.1,15032.45,14812.5,14574.5,17095.2,5635.2,23.55,3.54,1.12,41,207,1.53,-9.59
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,11746.3,239.25,2.08,11811.45,11863.0,11708.05,11507.05,13842.6,6252.1,21.29,3.21,1.24,78,669,-0.81,-9.54
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,19766.25,873.3,4.62,19487.1,19891.15,19369.95,18892.95,26476.9,5802.95,22.85,2.69,0.91,18,231,-5.18,-7.19
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,15965.0,375.35,2.41,16001.65,16107.8,15906.45,15589.65,18838.1,14014.4,24.28,3.33,1.02,60,438,0.46,-8.78
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1425.45,24.3,1.73,1438.0,1442.5,1420.45,1401.15,1641.4,1346.5,21.55,3.38,1.33,29,119,0.0,-8.93
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,24238.85,469.25,1.97,24557.4,24646.5,24132.4,23769.6,29179.1,19316.65,28.1,4.07,1.34,2,13,14.14,-13.92
SECTORAL INDICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FINSRV25 50,26187.5,481.9,1.87,26383.15,26499.55,26137.5,25705.6,0.0,0.0,15.12,2.6,1.08,3,17,-0.28,-13.37
SECTORAL INDICES,NIFTY FMCG,NIFTY FMCG,46135.95,597.3,1.31,46499.45,46513.05,45886.25,45538.65,58485.05,45436.0,32.56,8.02,1.81,1,14,-13.12,-9.79
SECTORAL INDICES,NIFTY IT,NIFTY IT,29669.05,606.45,2.09,29943.15,30257.85,29562.35,29062.6,40301.4,28288.05,20.64,5.39,3.64,0,10,-17.54,-3.05
SECTORAL INDICES,NIFTY MEDIA,NIFTY MEDIA,1308.4,46.55,3.69,1288.25,1319.0,1286.7,1261.85,1786.15,1245.05,26.59,1.33,1.39,0,10,-13.25,-7.61
SECTORAL INDICES,NIFTY METAL,NIFTY METAL,11412.05,273.65,2.46,11447.55,11573.0,11374.55,11138.4,12509.75,7690.2,18.89,2.9,1.79,1,13,26.56,-6.77
SECTORAL INDICES,NIFTY PHARMA,NIFTY PHARMA,22011.6,-220.65,-0.99,22531.6,22782.05,21909.35,22232.25,23540.9,19121.1,33.28,4.85,0.71,12,8,5.97,-4.1
SECTORAL INDICES,NIFTY PSU BANK,NIFTY PSU BANK,8164.8,291.35,3.7,8139.45,8257.3,8035.9,7873.45,9918.65,5904.1,7.76,1.28,2.46,0,12,30.54,-16.86
SECTORAL INDICES,NIFTY PRIVATE BANK,NIFTY PVT BANK,24569.8,424.95,1.76,24623.85,24843.15,24491.55,24144.85,29748.45,24055.6,16.86,1.92,0.67,0,10,-3.36,-14.14
SECTORAL INDICES,NIFTY REALTY,NIFTY REALTY,665.0,13.85,2.13,666.45,672.0,660.35,651.15,1049.7,648.6,30.8,3.12,0.46,0,10,-19.38,-14.81
SECTORAL INDICES,NIFTY HEALTHCARE INDEX,NIFTY HEALTHCARE,14055.75,-145.3,-1.02,14384.75,14526.9,13992.9,14201.05,15148.75,6482.8,36.07,5.33,0.6,14,6,4.31,-5.48
SECTORAL INDICES,NIFTY CONSUMER DURABLES,NIFTY CONSR DURBL,33658.45,635.15,1.92,33793.5,34180.45,33427.95,33023.3,44426.55,14089.55,53.19,10.79,0.43,5,8,-3.17,-10.45
SECTORAL INDICES,NIFTY OIL & GAS,NIFTY OIL AND GAS,10929.05,141.0,1.31,11095.6,11095.85,10904.2,10788.05,13607.2,4632.7,9,1.47,2.45,3,12,3.51,-10.89
SECTORAL INDICES,NIFTY MIDSMALL HEALTHCARE,NIFTY MIDSML HLTH,42025.45,319.7,0.77,42359.4,42916.6,41825.95,41705.75,46103.35,20019.15,39.48,5.15,0.44,8,22,4.92,-4.39
