indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,25682.75,211.65,0.83,25423.6,25697.0,25372.7,25471.1,26373.2,21743.65,22.24,3.46,1.21,16,35,12.01,-0.05
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,69496.75,670.0,0.97,68553.85,69588.05,68369.3,68826.75,70833.65,56192.45,19.35,3.57,1.33,10,40,16.69,0.93
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,60949.1,762.45,1.27,59947.8,61011.3,59861.1,60186.65,61764.85,47702.9,16.2,2.15,0.97,1,13,24.13,1.42
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,28306.25,179.9,0.64,27955.65,28327.35,27907.15,28126.35,28413.85,22842.6,18,2.96,0.83,7,13,22.08,2.85
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13641.75,13.4,0.1,13536.2,13657.45,13444.25,13628.35,14118.4,5520.25,28.97,4.5,0.84,5,20,23.01,-0.41
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,26315.35,222.95,0.85,26034.7,26331.3,25981.45,26092.4,26975.15,22177.35,21.71,3.48,1.23,26,75,12.82,0.11
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14333.65,111.75,0.79,14184.35,14342.7,14150.1,14221.9,14700.95,11941.45,23.12,3.61,1.16,53,148,14.04,0.05
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23472.45,159.3,0.68,23248.55,23487.35,23190.2,23313.15,24144.2,19519.85,23.6,3.62,1.11,214,287,13.76,-0.05
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17025.7,65.25,0.38,16867.9,17040.85,16793.25,16960.45,17572.45,13269.65,32.91,4.52,0.82,12,38,22.25,-0.7
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,59723.0,285.0,0.48,59166.75,59770.45,58917.3,59438.0,61548.85,46865.7,32.55,4.32,0.82,27,73,20.28,-0.24
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,17050.9,18.0,0.11,16927.0,17062.75,16822.25,17032.9,19224.95,14084.3,30.27,3.68,0.76,47,53,10.67,-1.79
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,13.33,0.04,0.28,13.29,13.83,13.24,13.29,23.19,8.72,0,0,0,,,-11.25,17.24
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,21977.2,92.85,0.42,21799.0,21994.4,21715.15,21884.35,22650.05,17269.5,32.21,4.43,0.83,51,99,19.79,0.01
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8362.05,43.5,0.52,8260.45,8367.2,8213.15,8318.55,9282.7,6776.05,29.85,3.69,0.78,16,34,12.96,-1.68
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,15981.15,-7.15,-0.04,15914.6,15995.4,15815.8,15988.3,18077.35,13314.7,26.28,3.41,0.75,137,113,10.2,-1.4
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,19746.5,52.45,0.27,19612.55,19761.1,19538.15,19694.05,20668.15,15832.85,29.93,4.02,0.8,188,212,16.39,-0.47
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,16140.35,84.25,0.52,16004.3,16150.9,15959.05,16056.1,17112.15,5531.55,24.81,3.66,1.01,214,287,13.93,-0.29
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16623.5,105.5,0.64,16467.5,16634.65,16419.75,16518.0,17095.2,5635.2,25.95,3.9,1.03,77,174,16.26,0.06
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,13160.7,82.55,0.63,13041.7,13169.25,13009.3,13078.15,13842.6,6252.1,23.66,3.58,1.1,386,365,13.43,-0.04
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,21745.7,-161.7,-0.74,21838.2,21858.55,21676.7,21907.4,26476.9,5802.95,25.61,2.8,0.8,172,78,4.87,0.28
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,17667.25,72.9,0.41,17531.55,17679.05,17477.3,17594.35,18838.1,14014.4,26.06,3.72,0.94,214,287,14.28,-0.42
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1589.15,11.3,0.72,1574.3,1590.25,1570.15,1577.85,1641.4,1346.5,24.14,3.82,1.17,39,112,0.0,-0.6
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,28028.2,-206.1,-0.73,28204.15,28308.05,27928.3,28234.3,29179.1,19316.65,33.41,4.84,1.12,12,3,27.0,1.57
SECTORAL INDICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FINSRV25 50,30738.25,137.0,0.45,30384.35,30761.75,30302.6,30601.25,0.0,0.0,17.84,3.09,0.93,7,13,24.21,1.72
SECTORAL INDICES,NIFTY FMCG,NIFTY FMCG,51318.85,416.7,0.82,50809.55,51371.9,50680.15,50902.15,58485.05,49336.5,36.37,9.13,1.61,4,12,-3.42,-1.58
SECTORAL INDICES,NIFTY IT,NIFTY IT,32738.05,56.55,0.17,32693.0,32809.35,32299.55,32681.5,40905.4,30918.95,23.22,6.06,3.24,2,8,-20.75,-16.24
SECTORAL INDICES,NIFTY MEDIA,NIFTY MEDIA,1450.05,-12.75,-0.87,1461.3,1467.65,1444.15,1462.8,1786.15,1313.85,30.7,1.54,1.32,9,1,-2.82,2.8
SECTORAL INDICES,NIFTY METAL,NIFTY METAL,11955.0,82.2,0.69,11776.55,11970.4,11749.1,11872.8,12509.75,7690.2,19.63,3.09,1.59,7,8,46.02,3.06
SECTORAL INDICES,NIFTY PHARMA,NIFTY PHARMA,22403.15,208.25,0.94,22184.6,22457.6,22121.7,22194.9,23492.55,19121.1,33.5,4.84,0.67,5,15,7.65,0.84
SECTORAL INDICES,NIFTY PSU BANK,NIFTY PSU BANK,9304.4,137.9,1.5,9124.0,9328.55,9083.6,9166.5,9328.55,5530.35,9.09,1.5,2.09,0,12,58.44,3.22
SECTORAL INDICES,NIFTY PRIVATE BANK,NIFTY PVT BANK,29031.8,340.0,1.19,28570.7,29053.5,28546.25,28691.8,29748.45,23783.15,20.09,2.26,0.54,2,8,18.43,1.19
SECTORAL INDICES,NIFTY REALTY,NIFTY REALTY,836.7,13.1,1.59,819.3,838.2,817.2,823.6,1049.7,742.2,37.1,3.98,0.36,2,8,0.63,-1.91
SECTORAL INDICES,NIFTY HEALTHCARE INDEX,NIFTY HEALTHCARE,14518.0,133.95,0.93,14382.65,14529.05,14340.2,14384.05,15144.95,6482.8,36.76,5.4,0.55,4,16,9.0,0.9
SECTORAL INDICES,NIFTY CONSUMER DURABLES,NIFTY CONSR DURBL,37861.05,242.75,0.65,37605.25,37901.0,37360.1,37618.3,44426.55,14089.55,59.86,11.79,0.39,7,8,6.63,3.58
SECTORAL INDICES,NIFTY OIL & GAS,NIFTY OIL AND GAS,12084.65,108.2,0.9,11963.95,12094.95,11932.25,11976.45,13607.2,4632.7,10.27,1.64,2.11,4,11,22.66,2.86
SECTORAL INDICES,NIFTY MIDSMALL HEALTHCARE,NIFTY MIDSML HLTH,42655.7,430.75,1.02,42233.75,42776.65,42136.2,42224.95,46103.35,20019.15,39.82,5.15,0.44,8,22,12.31,-1.76
SECTORAL INDICES,NIFTY FINANCIAL SERVICES EX-BANK,NIFTY FINSEREXBNK,31865.65,-50.9,-0.16,31587.4,31891.9,31394.2,31916.55,32654.2,21702.4,24.07,4.49,0.79,10,20,29.09,0.16
