indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,23777.8,196.65,0.83,23632.9,23862.25,23618.45,23581.15,26373.2,21743.65,20.81,3.23,1.31,15,35,4.13,-7.91
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,65668.5,646.9,0.99,65200.5,65883.4,65050.65,65021.6,70833.65,57250.25,18.35,3.4,1.45,10,40,7.7,-6.63
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,55326.05,450.05,0.82,54927.05,55554.15,54689.1,54876.0,61764.85,49156.95,14.82,1.93,1.06,1,13,12.19,-10.11
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,25927.35,202.7,0.79,25774.55,26012.35,25615.4,25724.65,28562.5,23546.5,16.56,2.73,0.89,4,16,8.17,-8.91
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,12980.55,244.25,1.92,12764.9,13039.55,12763.25,12736.3,14118.4,5520.25,27.29,4.28,0.85,2,23,16.49,-5.46
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,24446.45,208.65,0.86,24293.2,24529.6,24283.65,24237.8,26975.15,22177.35,20.35,3.26,1.34,25,75,4.74,-7.7
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13351.15,141.8,1.07,13239.05,13396.35,13236.1,13209.35,14700.95,11941.45,21.76,3.39,1.25,33,167,6.21,-7.47
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,21917.4,248.1,1.14,21721.45,21990.4,21713.4,21669.3,24144.2,19519.85,22.23,3.4,1.19,85,414,6.1,-7.31
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,15983.45,326.7,2.09,15686.95,16042.3,15685.55,15656.75,17572.45,13269.65,30.82,4.25,0.86,4,46,13.83,-6.66
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,56289.85,1115.45,2.02,55289.1,56497.8,55253.3,55174.4,61548.85,46966.6,31.32,4.09,0.86,8,92,13.68,-6.47
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,16179.15,266.25,1.67,15976.1,16230.7,15946.3,15912.9,19224.95,14084.3,28.83,3.5,0.74,15,85,5.23,-6.15
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,18.72,-1.07,-5.39,19.79,19.79,18.59,19.79,24.49,8.72,0,0,0,,,41.71,53.19
