indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,24158.95,-167.7,-0.69,24233.65,24253.8,24138.4,24326.65,26373.2,22182.55,21.16,3.33,1.28,30,20,-0.47,0.67
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,71552.3,-300.6,-0.42,71776.4,71889.6,71452.6,71852.9,72037.6,59896.1,20.14,3.83,1.39,32,18,14.01,8.17
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,55352.65,-694.75,-1.24,55783.95,55797.7,55342.85,56047.4,61764.85,49954.85,14.14,1.91,1.05,11,3,1.82,-0.63
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26076.45,-373.05,-1.41,26344.35,26353.15,26074.7,26449.5,28562.5,23373.95,17.11,2.84,0.86,18,2,0.37,0.09
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14491.75,-59.7,-0.41,14547.5,14590.6,14459.55,14551.45,14577.2,5520.25,32.35,4.95,0.61,15,10,20.93,9.62
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25157.35,-162.15,-0.64,25235.7,25247.15,25133.95,25319.5,26975.15,22720.45,20.96,3.41,1.3,62,38,1.94,1.99
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13914.4,-77.5,-0.55,13956.25,13962.9,13900.15,13991.9,14700.95,12396.1,22.84,3.63,1.18,121,79,4.41,3.29
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23109.75,-104.25,-0.45,23166.05,23185.65,23080.3,23214.0,24144.2,20385.65,23.65,3.67,1.11,283,217,5.8,4.39
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17623.8,6.25,0.04,17636.55,17686.3,17555.45,17617.55,17644.1,14783.9,34.76,4.8,0.6,26,24,16.72,8.72
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,61879.6,-123.55,-0.2,62039.15,62113.85,61766.35,62003.15,62094.4,52032.85,36.11,4.89,0.66,59,41,16.25,8.94
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,18754.95,59.3,0.32,18714.4,18795.8,18669.1,18695.65,19224.95,14986.0,31.74,3.65,0.64,56,44,15.89,13.4
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,17.07,0.45,2.7,16.62,17.43,16.16,16.62,28.91,8.72,0,0,0,,,-18.75,-13.35
