indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,24450.45,-315.45,-1.27,24656.4,24700.9,24415.75,24765.9,26373.2,21743.65,21.67,3.37,1.26,37,13,8.45,-4.84
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,67476.65,-245.55,-0.36,67559.05,68078.3,67392.9,67722.2,70833.65,57250.25,18.93,3.51,1.36,33,17,12.25,-2.29
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,57783.25,-1272.6,-2.15,58629.6,58807.15,57696.4,59055.85,61764.85,48196.1,15.82,2.06,0.99,14,0,18.83,-3.89
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26652.45,-583.35,-2.14,27074.15,27146.15,26609.15,27235.8,28562.5,23305.45,17.39,2.87,0.85,18,2,15.06,-4.15
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13166.9,-93.6,-0.71,13246.8,13324.5,13153.1,13260.5,14118.4,6054.2,27.88,4.37,0.84,17,8,17.66,-3.5
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25134.9,-285.2,-1.12,25316.2,25375.2,25101.7,25420.1,26975.15,22177.35,21.16,3.39,1.28,70,30,9.1,-4.42
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13706.0,-144.45,-1.04,13799.8,13841.95,13688.9,13850.45,14700.95,11941.45,22.57,3.51,1.2,135,64,10.29,-4.26
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,22481.3,-216.5,-0.95,22621.55,22701.6,22456.45,22697.8,24144.2,19519.85,23.03,3.53,1.14,325,173,9.95,-4.07
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,16300.85,-140.7,-0.86,16413.3,16529.05,16283.55,16441.55,17572.45,13269.65,31.7,4.38,0.83,37,13,16.57,-4.24
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,57393.35,-399.2,-0.69,57692.15,58104.5,57336.55,57792.55,61548.85,46966.6,32.16,4.2,0.83,65,34,16.3,-3.54
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,16498.9,-39.9,-0.24,16524.35,16658.45,16481.65,16538.8,19224.95,14084.3,29.45,3.58,0.77,64,35,7.13,-2.6
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,19.88,2.02,11.32,17.86,20.14,17.2,17.86,23.19,8.72,0,0,0,,,44.79,66.5
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,21181.8,-144.2,-0.68,21286.75,21437.8,21164.05,21326.0,22650.05,17269.5,31.79,4.31,0.84,98,51,15.49,-3.4
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8091.85,-47.15,-0.58,8128.95,8193.55,8081.35,8139.0,9282.7,6776.05,29.31,3.61,0.79,36,13,8.23,-2.11
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,15422.2,-43.55,-0.28,15449.05,15569.8,15413.9,15465.75,18077.35,13314.7,25.44,3.3,0.77,157,92,6.34,-2.79
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,19039.9,-104.15,-0.54,19113.65,19253.55,19028.05,19144.05,20668.15,15832.85,29.34,3.91,0.82,255,143,12.24,-3.19
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,15490.65,-125.45,-0.8,15572.65,15644.3,15476.6,15616.1,17112.15,8254.5,24.21,3.56,1.04,325,173,10.06,-3.76
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,15949.95,-144.55,-0.9,16046.9,16119.1,15933.0,16094.5,17095.2,8318.55,25.43,3.8,1.06,168,81,12.29,-3.91
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,12597.1,-117.4,-0.92,12673.0,12720.15,12583.65,12714.5,13842.6,7145.35,23.06,3.48,1.13,472,276,9.55,-4.12
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,20465.35,-18.9,-0.09,20469.0,20666.25,20447.65,20484.25,26476.9,8567.2,24.03,2.61,0.85,147,103,-0.64,-5.59
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,16983.4,-119.15,-0.7,17062.45,17156.35,16970.3,17102.55,18330.05,14479.0,25.43,3.62,0.96,325,173,10.35,-3.54
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1524.75,-12.45,-0.81,1532.7,1539.0,1522.9,1537.2,1641.4,1346.5,23.53,3.72,1.22,107,43,0.0,-4.19
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,27076.4,-290.4,-1.06,27247.2,27321.05,27042.4,27366.8,29179.1,19316.65,32.35,4.69,1.16,11,4,29.18,-1.61
SECTORAL INDICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FINSRV25 50,28915.15,-628.25,-2.13,29353.05,29445.4,28868.0,29543.4,0.0,0.0,17.17,2.98,0.94,18,2,16.28,-4.78
SECTORAL INDICES,NIFTY FMCG,NIFTY FMCG,49970.6,-30.2,-0.06,49847.65,50173.6,49679.5,50000.8,58485.05,49336.5,36.06,8.95,1.64,6,8,-3.7,-3.69
SECTORAL INDICES,NIFTY IT,NIFTY IT,30138.4,11.6,0.04,30074.6,30664.95,30062.75,30126.8,40301.4,29823.15,21.41,5.59,3.52,4,6,-20.99,-15.37
SECTORAL INDICES,NIFTY MEDIA,NIFTY MEDIA,1354.55,-7.9,-0.58,1362.7,1368.95,1349.6,1362.45,1786.15,1313.85,28.6,1.43,1.33,8,2,-7.36,-2.6
SECTORAL INDICES,NIFTY METAL,NIFTY METAL,12000.45,-48.75,-0.4,12013.65,12166.3,11922.35,12049.2,12509.75,7690.2,20.44,3.14,1.53,10,5,35.01,0.48
SECTORAL INDICES,NIFTY PHARMA,NIFTY PHARMA,22970.2,-35.3,-0.15,23005.05,23131.7,22877.55,23005.5,23492.55,19121.1,34.43,5.01,0.68,14,6,12.47,4.59
SECTORAL INDICES,NIFTY PSU BANK,NIFTY PSU BANK,9184.35,-188.25,-2.01,9336.1,9356.7,9162.4,9372.6,9918.65,5756.35,9.3,1.53,2.05,12,0,54.9,3.47
SECTORAL INDICES,NIFTY PRIVATE BANK,NIFTY PVT BANK,27418.6,-635.45,-2.27,27834.5,27949.6,27376.75,28054.05,29748.45,24020.15,19.64,2.21,0.56,10,0,12.72,-5.27
SECTORAL INDICES,NIFTY REALTY,NIFTY REALTY,742.0,-15.8,-2.08,756.4,757.35,740.6,757.8,1049.7,734.0,34.13,3.67,0.39,9,1,-10.19,-10.04
SECTORAL INDICES,NIFTY HEALTHCARE INDEX,NIFTY HEALTHCARE,14791.65,-61.7,-0.42,14839.6,14895.55,14746.0,14853.35,15148.75,7249.7,37.72,5.57,0.57,15,5,12.88,4.61
SECTORAL INDICES,NIFTY CONSUMER DURABLES,NIFTY CONSR DURBL,36520.7,-231.7,-0.63,36620.85,36810.85,36447.6,36752.4,44426.55,21967.45,58.48,11.52,0.4,11,4,2.5,0.23
SECTORAL INDICES,NIFTY OIL & GAS,NIFTY OIL AND GAS,11787.3,-24.95,-0.21,11862.95,11890.5,11763.25,11812.25,13607.2,6645.9,9.98,1.61,2.19,9,6,17.34,-3.45
SECTORAL INDICES,NIFTY MIDSMALL HEALTHCARE,NIFTY MIDSML HLTH,43316.95,-99.1,-0.23,43421.55,43729.6,43226.85,43416.05,46103.35,31279.6,40.66,5.3,0.44,15,14,11.63,4.64
SECTORAL INDICES,NIFTY FINANCIAL SERVICES EX-BANK,NIFTY FINSEREXBNK,30046.3,-472.6,-1.55,30438.05,30576.3,30000.05,30518.9,32654.2,23850.75,22.9,4.3,0.79,27,3,22.01,-4.85
SECTORAL INDICES,NIFTY MIDSMALL FINANCIAL SERVICES,NIFTY MS FIN SERV,19865.9,-278.85,-1.38,20080.4,20209.1,19844.8,20144.75,21300.0,13363.1,28.05,2.9,0.66,30,0,43.25,-4.13
SECTORAL INDICES,NIFTY MIDSMALL IT & TELECOM,NIFTY MS IT TELCM,8271.4,3.55,0.04,8258.35,8395.6,8257.65,8267.85,11536.7,7836.0,58.78,8.09,1.31,12,8,-8.63,-13.34
SECTORAL INDICES,NIFTY CHEMICALS,NIFTY CHEMICALS,27454.15,47.9,0.17,27411.25,27674.9,27346.85,27406.25,31895.45,25227.25,38.67,4.04,0.63,15,5,0.0,-3.14
SECTORAL INDICES,NIFTY500 HEALTHCARE,NIFTY500 HEALTH,18681.65,-69.15,-0.37,18729.45,18814.45,18624.6,18750.8,19594.1,16294.6,38.71,5.67,0.54,30,19,0.0,4.19
STRATEGY INDICES,NIFTY DIVIDEND OPPORTUNITIES 50,NIFTY DIV OPPS 50,6127.25,-53.25,-0.86,6173.65,6203.85,6119.5,6180.5,6584.65,5288.6,14.2,2.86,2.78,32,18,7.06,-3.88
STRATEGY INDICES,NIFTY GROWTH SECTORS 15,NIFTY GROWSECT 15,11240.45,-57.5,-0.51,11255.95,11343.8,11226.3,11297.95,12852.45,9722.65,29.06,6.71,1.88,11,4,4.2,-5.98
STRATEGY INDICES,NIFTY100 QUALITY 30,NIFTY100 QUALTY30,5498.75,4.9,0.09,5485.2,5530.25,5469.2,5493.85,0.0,0.0,29.78,7.55,1.88,16,14,7.85,-3.31
STRATEGY INDICES,NIFTY50 VALUE 20,NIFTY50 VALUE 20,12552.55,-162.8,-1.28,12668.1,12699.4,12538.55,12715.35,13684.4,11375.5,16.91,2.93,1.92,12,8,1.95,-4.54
STRATEGY INDICES,NIFTY50 TR 2X LEVERAGE,NIFTY50 TR 2X LEV,19069.1,-498.3,-2.55,19394.55,19444.65,19015.75,19567.4,31895.45,1056.45,0,0,0,,,12.34,-9.87
STRATEGY INDICES,NIFTY50 PR 2X LEVERAGE,NIFTY50 PR 2X LEV,12713.9,-334.15,-2.56,12930.9,12964.3,12678.3,13048.05,31895.45,1056.45,0,0,0,,,9.85,-9.92
STRATEGY INDICES,NIFTY50 TR 1X INVERSE,NIFTY50 TR 1X INV,175.65,2.2,1.27,174.2,175.9,174.0,173.45,31895.45,161.8,0,0,0,,,-5.08,5.27
STRATEGY INDICES,NIFTY50 PR 1X INVERSE,NIFTY50 PR 1X INV,214.9,2.7,1.27,213.15,215.2,212.9,212.2,31895.45,197.8,0,0,0,,,-4.04,5.29
STRATEGY INDICES,NIFTY50 DIVIDEND POINTS,NIFTY50 DIV POINT,279.19,1.8,0.65,279.19,279.19,279.19,277.39,0.0,0.0,0,0,0,,,-3.03,2.95
STRATEGY INDICES,NIFTY ALPHA 50,NIFTY ALPHA 50,49128.0,-406.3,-0.82,49464.9,49769.85,49079.3,49534.3,0.0,0.0,30.78,4.28,0.59,37,12,11.77,-1.28
STRATEGY INDICES,NIFTY50 EQUAL WEIGHT,NIFTY50 EQL WGT,32099.55,-330.2,-1.02,32325.7,32376.55,32058.25,32429.75,0.0,0.0,24.58,3.68,1.33,37,13,13.34,-3.39
STRATEGY INDICES,NIFTY100 EQUAL WEIGHT,NIFTY100 EQL WGT,32835.6,-212.5,-0.64,32959.1,33121.9,32800.35,33048.1,0.0,0.0,22.06,3.67,1.27,70,30,12.97,-2.98
STRATEGY INDICES,NIFTY100 LOW VOLATILITY 30,NIFTY100 LOWVOL30,19900.55,-187.05,-0.93,20015.75,20053.5,19880.75,20087.6,0.0,0.0,27.8,4.95,1.28,21,9,9.79,-3.52
STRATEGY INDICES,NIFTY200 QUALITY 30,NIFTY200 QUALTY30,19831.35,-24.0,-0.12,19833.45,19990.45,19774.35,19855.35,0.0,0.0,30.45,9.77,2.01,18,12,6.09,-4.76
STRATEGY INDICES,NIFTY ALPHA LOW-VOLATILITY 30,NIFTY ALPHALOWVOL,26346.5,-295.35,-1.11,26527.65,26572.9,26318.2,26641.85,0.0,0.0,31.58,4.71,0.71,24,6,8.46,-1.57
STRATEGY INDICES,NIFTY200 MOMENTUM 30,NIFTY200MOMENTM30,30175.85,-449.45,-1.47,30508.5,30593.35,30135.6,30625.3,0.0,0.0,26.18,4.52,0.83,26,4,10.11,-2.27
STRATEGY INDICES,NIFTY MIDCAP150 QUALITY 50,NIFTY M150 QLTY50,22655.6,-83.05,-0.37,22713.45,22886.75,22637.4,22738.65,0.0,0.0,31.26,7.47,1.46,30,20,6.47,-4.05
STRATEGY INDICES,NIFTY200 ALPHA 30,NIFTY200 ALPHA 30,24571.75,-301.6,-1.21,24806.65,24939.3,24539.45,24873.35,0.0,0.0,28.09,4.65,0.67,25,5,14.43,-1.96
STRATEGY INDICES,NIFTY MIDCAP150 MOMENTUM 50,NIFTYM150MOMNTM50,59856.6,-578.6,-0.96,60310.55,60750.25,59790.7,60435.2,0.0,0.0,31.56,4.93,0.81,36,14,14.28,-3.44
STRATEGY INDICES,NIFTY500 MOMENTUM 50,NIFTY500MOMENTM50,50725.3,-589.4,-1.15,51145.6,51354.1,50675.3,51314.7,0.0,0.0,28.96,4.77,0.72,37,12,10.13,-2.1
STRATEGY INDICES,NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,NIFTYMS400 MQ 100,45982.2,-128.1,-0.28,46054.75,46442.3,45927.3,46110.3,0.0,0.0,27.56,5.92,1.01,57,42,8.46,-2.79
STRATEGY INDICES,NIFTY SMALLCAP250 MOMENTUM QUALITY 100,NIFTYSML250MQ 100,40653.75,-35.0,-0.09,40672.55,40985.0,40611.25,40688.75,0.0,0.0,26.41,4.49,0.97,55,44,0.44,-3.55
STRATEGY INDICES,NIFTY TOP 10 EQUAL WEIGHT,NIFTY TOP 10 EW,8978.35,-137.35,-1.51,9069.95,9093.55,8967.0,9115.7,0.0,0.0,19.86,3.37,1.36,8,2,1.12,-6.7
STRATEGY INDICES,NIFTY ALPHA QUALITY LOW-VOLATILITY 30,NIFTY AQL 30,22183.1,-119.2,-0.53,22253.3,22314.45,22161.25,22302.3,0.0,0.0,32.6,7.68,1.49,20,10,9.93,-1.27
STRATEGY INDICES,NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30,NIFTY AQLV 30,20202.75,-148.65,-0.73,20299.55,20351.75,20187.35,20351.4,0.0,0.0,22.19,4.61,1.89,18,12,8.97,-3.61
STRATEGY INDICES,NIFTY HIGH BETA 50,NIFTY HIGHBETA 50,3653.6,-33.15,-0.9,3679.65,3718.95,3649.65,3686.75,0.0,0.0,22.22,2.86,1.13,38,12,14.81,-4.51
STRATEGY INDICES,NIFTY LOW VOLATILITY 50,NIFTY LOW VOL 50,24492.45,-169.9,-0.69,24582.15,24657.35,24470.45,24662.35,0.0,0.0,29.83,4.96,1.21,33,17,8.47,-3.02
STRATEGY INDICES,NIFTY QUALITY LOW-VOLATILITY 30,NIFTY QLTY LV 30,16455.3,-104.05,-0.63,16503.05,16541.65,16441.1,16559.35,0.0,0.0,27.33,6.01,1.77,20,10,4.49,-3.83
STRATEGY INDICES,NIFTY SMALLCAP250 QUALITY 50,NIFTY SML250 Q50,23370.4,-48.9,-0.21,23398.6,23623.05,23345.8,23419.3,0.0,0.0,22.55,4.78,1.82,27,23,-0.65,-4.56
STRATEGY INDICES,NIFTY TOP 15 EQUAL WEIGHT,NIFTY TOP 15 EW,10145.2,-153.4,-1.49,10249.4,10268.95,10134.05,10298.6,0.0,0.0,20.98,3.64,1.28,13,2,8.41,-5.5
STRATEGY INDICES,NIFTY100 ALPHA 30,NIFTY100 ALPHA 30,17654.4,-186.7,-1.05,17770.1,17811.4,17632.8,17841.1,0.0,0.0,27.58,5.17,0.75,25,5,10.35,-2.21
STRATEGY INDICES,NIFTY200 VALUE 30,NIFTY200 VALUE 30,15478.55,-154.5,-0.99,15624.05,15658.15,15454.15,15633.05,0.0,0.0,10.16,1.57,2.54,23,7,31.12,-0.4
STRATEGY INDICES,NIFTY500 EQUAL WEIGHT,NIFTY500 EW,13324.55,-48.7,-0.36,13351.75,13452.7,13316.65,13373.25,0.0,0.0,24.77,3.48,0.95,325,173,8.94,-3.29
STRATEGY INDICES,NIFTY500 MULTICAP MOMENTUM QUALITY 50,NIFTY MULTI MQ 50,39691.8,-168.1,-0.42,39787.95,40046.8,39651.5,39859.9,0.0,0.0,32.07,7.72,1.08,26,23,8.26,-2.45
STRATEGY INDICES,NIFTY500 VALUE 50,NIFTY500 VALUE 50,16293.05,-114.5,-0.7,16396.55,16447.7,16271.55,16407.55,0.0,0.0,10.14,1.57,2.42,38,12,27.27,-0.07
STRATEGY INDICES,NIFTY TOP 20 EQUAL WEIGHT,NIFTY TOP 20 EW,8957.05,-118.55,-1.31,9040.05,9061.25,8947.6,9075.6,0.0,0.0,24.52,3.59,1.28,16,4,6.76,-5.57
STRATEGY INDICES,NIFTY500 QUALITY 50,NIFTY500 QLTY50,18069.85,26.8,0.15,18025.05,18227.75,17986.8,18043.05,0.0,0.0,28.89,9.7,1.69,25,25,0.0,-3.33
STRATEGY INDICES,NIFTY500 LOW VOLATILITY 50,NIFTY500 LOWVOL50,22264.9,-178.1,-0.79,22393.9,22439.0,22249.75,22443.0,0.0,0.0,23.96,4.51,1.71,38,12,0.0,-2.08
