indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,25725.4,42.65,0.17,25637.95,25764.4,25570.3,25682.75,26373.2,21743.65,22.51,3.49,1.2,25,26,12.05,0.12
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,69868.75,372.0,0.54,69433.95,69915.2,69255.0,69496.75,70833.65,56192.45,19.49,3.6,1.3,17,33,17.53,1.47
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,61174.0,224.9,0.37,60821.15,61241.6,60560.0,60949.1,61764.85,47702.9,16.41,2.18,0.96,5,9,24.19,1.8
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,28287.4,-18.85,-0.07,28246.5,28307.25,28098.5,28306.25,28413.85,22842.6,18.08,2.98,0.81,11,9,21.56,2.78
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13664.35,22.6,0.17,13648.85,13700.45,13597.25,13641.75,14118.4,5520.25,28.72,4.5,0.82,10,14,22.3,-0.24
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,26375.1,59.75,0.23,26273.1,26406.15,26214.0,26315.35,26975.15,22177.35,21.95,3.51,1.22,42,59,12.99,0.34
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14367.2,33.55,0.23,14314.45,14382.9,14281.6,14333.65,14700.95,11941.45,23.34,3.64,1.14,80,119,14.16,0.28
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23540.05,67.6,0.29,23445.3,23563.25,23394.8,23472.45,24144.2,19519.85,23.79,3.65,1.09,172,325,13.98,0.23
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17048.95,23.25,0.14,17021.95,17078.2,16969.6,17025.7,17572.45,13269.65,32.82,4.53,0.8,22,27,21.81,-0.57
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,59881.7,158.7,0.27,59713.55,59951.4,59543.7,59723.0,61548.85,46865.7,32.56,4.34,0.79,38,60,20.12,0.02
