indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,23408.8,257.7,1.11,23116.1,23502.0,22955.25,23151.1,26373.2,21743.65,20.48,3.18,1.33,20,30,4.52,-8.85
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,64462.3,-229.15,-0.35,64621.55,64969.5,63525.5,64691.45,70833.65,57250.25,18.02,3.34,1.47,33,17,9.3,-7.24
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,54413.4,655.55,1.22,53721.5,54664.15,53258.15,53757.85,61764.85,49156.95,14.58,1.9,1.08,6,8,13.22,-10.72
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,25515.25,376.6,1.5,25113.35,25645.7,24946.05,25138.65,28562.5,23546.5,16.3,2.69,0.91,6,14,9.55,-9.86
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,12615.25,-3.25,-0.03,12572.35,12701.35,12402.1,12618.5,14118.4,5520.25,26.53,4.16,0.88,15,10,16.55,-7.52
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,24055.4,206.15,0.86,23814.95,24155.85,23608.95,23849.25,26975.15,22177.35,20.02,3.21,1.36,53,47,5.33,-8.59
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13103.6,85.35,0.66,12998.25,13162.25,12865.5,13018.25,14700.95,11941.45,21.36,3.32,1.27,117,83,6.65,-8.58
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,21498.8,107.6,0.5,21355.95,21593.25,21110.0,21391.2,24144.2,19519.85,21.81,3.34,1.21,312,187,6.56,-8.41
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,15497.0,-26.7,-0.17,15487.2,15610.9,15259.8,15523.7,17572.45,13269.65,29.88,4.13,0.88,33,17,13.67,-8.98
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,54614.95,-146.15,-0.27,54652.55,55013.3,53712.55,54761.1,61548.85,46966.6,30.39,3.97,0.88,64,36,13.49,-8.55
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,15810.35,-84.9,-0.53,15858.25,15892.2,15526.75,15895.25,19224.95,14084.3,28.17,3.42,0.81,65,34,6.13,-7.28
