indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,25471.1,-336.1,-1.3,25571.15,25630.35,25444.3,25807.2,26373.2,21743.65,22.58,3.51,1.2,45,5,11.86,0.07
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,68826.75,-1089.35,-1.56,69374.65,69381.8,68485.5,69916.1,70833.65,56192.45,19.66,3.63,1.31,46,4,14.94,1.77
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,60186.65,-553.1,-0.91,60504.4,60621.9,60073.55,60739.75,61764.85,47702.9,16.35,2.17,0.96,11,3,22.95,2.17
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,28126.35,-258.85,-0.91,28261.75,28335.85,28085.5,28385.2,28413.85,22842.6,18.17,2.99,0.83,16,4,22.94,3.15
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13628.35,-265.15,-1.91,13750.5,13763.2,13580.6,13893.5,14118.4,6054.2,29.55,4.58,0.82,22,3,21.11,1.43
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,26092.4,-355.65,-1.34,26212.25,26252.8,26063.75,26448.05,26975.15,22177.35,22.04,3.53,1.22,91,9,12.4,0.34
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14221.9,-203.6,-1.41,14298.95,14313.25,14205.75,14425.5,14700.95,11941.45,23.49,3.66,1.14,181,19,13.47,0.51
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23313.15,-338.4,-1.43,23448.7,23464.05,23285.0,23651.55,24144.2,19519.85,23.98,3.68,1.09,434,65,12.89,0.6
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,16960.45,-291.05,-1.69,17095.9,17104.35,16880.45,17251.5,17572.45,13269.65,33.51,4.6,0.83,45,5,21.03,0.97
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,59438.0,-1032.85,-1.71,59978.45,59981.0,59194.25,60470.85,61548.85,46865.7,33.16,4.4,0.82,90,10,18.83,1.26
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,17032.9,-311.2,-1.79,17193.65,17196.35,16951.9,17344.1,19224.95,14084.3,30.84,3.75,0.73,84,15,7.9,0.88
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,13.29,1.56,13.36,11.73,13.58,10.96,11.73,23.19,8.72,0,0,0,,,-21.12,3.17
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,21884.35,-368.05,-1.65,22079.55,22080.4,21778.0,22252.4,22650.05,17269.5,32.79,4.5,0.83,129,21,18.13,1.38
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8318.55,-159.55,-1.88,8404.5,8406.95,8281.4,8478.1,9282.7,6776.05,30.45,3.76,0.77,44,5,9.45,1.24
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,15988.3,-261.85,-1.61,16124.3,16128.45,15912.05,16250.15,18077.35,13314.7,26.74,3.47,0.73,214,35,7.21,0.92
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,19694.05,-328.3,-1.64,19867.0,19867.1,19602.6,20022.35,20668.15,15832.85,30.47,4.09,0.8,343,56,14.22,1.23
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,16056.1,-242.65,-1.49,16162.85,16164.55,16024.55,16298.75,17112.15,8254.5,25.22,3.72,1,434,65,12.62,0.75
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16518.0,-251.6,-1.5,16629.75,16632.65,16482.95,16769.6,17095.2,8318.55,26.39,3.96,1.02,220,30,15.28,0.86
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,13078.15,-190.0,-1.43,13154.65,13162.05,13062.35,13268.15,13842.6,7145.35,24.04,3.64,1.08,647,102,12.52,0.67
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,21907.4,-325.5,-1.46,22057.2,22075.55,21771.25,22232.9,26476.9,8567.2,25.94,2.84,0.79,213,37,3.09,2.43
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,17594.35,-274.6,-1.54,17723.45,17724.4,17544.75,17868.95,18330.05,14479.0,26.5,3.78,0.93,434,65,12.66,0.88
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1577.85,-22.75,-1.42,1584.4,1586.4,1574.8,1600.6,1641.4,1346.5,24.54,3.88,1.16,135,15,0.0,-0.07
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,28234.3,-269.75,-0.95,28305.55,28503.15,28161.25,28504.05,29179.1,19316.65,34.67,4.89,1.11,13,2,26.27,1.76
SECTORAL INDICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FINSRV25 50,30601.25,-366.35,-1.18,30807.25,30881.1,30560.0,30967.6,0.0,0.0,18.05,3.12,0.92,16,4,26.05,2.36
SECTORAL INDICES,NIFTY FMCG,NIFTY FMCG,50902.15,-983.6,-1.9,51690.05,51690.05,50811.85,51885.75,58485.05,49336.5,37.18,9.31,1.58,14,1,-3.55,-1.63
SECTORAL INDICES,NIFTY IT,NIFTY IT,32681.5,-478.7,-1.44,31487.4,32932.75,31422.6,33160.2,40905.4,30918.95,23.56,6.15,3.19,9,1,-20.99,-12.71
SECTORAL INDICES,NIFTY MEDIA,NIFTY MEDIA,1462.8,-11.25,-0.76,1461.75,1486.45,1446.65,1474.05,1786.15,1313.85,30.94,1.55,1.37,7,3,-4.15,5.05
SECTORAL INDICES,NIFTY METAL,NIFTY METAL,11872.8,-406.4,-3.31,12073.9,12086.5,11841.25,12279.2,12509.75,7690.2,20.32,3.2,1.53,15,0,49.5,8.51
SECTORAL INDICES,NIFTY PHARMA,NIFTY PHARMA,22194.9,-191.4,-0.85,22325.9,22408.5,22134.0,22386.3,23492.55,19121.1,33.81,4.88,0.66,14,6,5.35,-1.24
SECTORAL INDICES,NIFTY PSU BANK,NIFTY PSU BANK,9166.5,-62.95,-0.68,9180.45,9198.5,9122.55,9229.45,9294.6,5530.35,9.16,1.51,2.08,11,1,53.78,6.61
SECTORAL INDICES,NIFTY PRIVATE BANK,NIFTY PVT BANK,28691.8,-295.25,-1.02,28905.45,29008.45,28630.7,28987.05,29748.45,23783.15,20.3,2.29,0.54,8,2,17.99,1.5
SECTORAL INDICES,NIFTY REALTY,NIFTY REALTY,823.6,-18.75,-2.23,831.3,831.3,811.2,842.35,1049.7,742.2,37.94,4.08,0.35,9,1,-2.39,-2.43
