indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,24261.6,233.55,0.97,24280.8,24303.8,24079.95,24028.05,26373.2,21743.65,21.02,3.27,1.3,9,41,8.02,-6.45
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,67227.95,1157.3,1.75,66929.7,67391.35,66431.6,66070.65,70833.65,57250.25,18.46,3.43,1.39,7,43,14.0,-3.73
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,56950.8,931.0,1.66,56583.85,57097.05,56387.2,56019.8,61764.85,48196.1,15.01,1.96,1.05,0,14,18.11,-6.06
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26535.2,495.9,1.9,26324.55,26615.0,26226.3,26039.3,28562.5,23305.45,16.63,2.74,0.88,3,17,15.09,-5.86
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13209.5,267.2,2.06,13147.25,13242.25,13028.85,12942.3,14118.4,5520.25,27.21,4.27,0.86,3,22,20.57,-5.33
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,24957.8,272.15,1.1,24955.6,25001.95,24753.05,24685.65,26975.15,22177.35,20.55,3.29,1.32,16,84,9.03,-6.0
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13617.75,161.2,1.2,13608.65,13643.9,13500.35,13456.55,14700.95,11941.45,21.93,3.41,1.23,26,174,10.5,-5.98
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,22342.95,286.4,1.3,22310.8,22385.65,22141.85,22056.55,24144.2,19519.85,22.37,3.43,1.18,74,426,10.25,-5.94
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,16262.25,256.8,1.6,16217.6,16308.6,16096.85,16005.45,17572.45,13269.65,30.86,4.26,0.85,6,44,18.63,-6.02
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,57177.65,912.15,1.62,56993.7,57341.75,56573.3,56265.5,61548.85,46966.6,31.31,4.09,0.86,10,90,18.04,-5.86
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,16473.8,341.6,2.12,16339.4,16512.75,16268.95,16132.2,19224.95,14084.3,28.72,3.49,0.79,13,87,8.39,-5.6
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,18.91,-4.45,-19.07,23.36,23.36,18.78,23.36,24.49,8.72,0,0,0,,,35.17,62.04
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,21079.75,330.3,1.59,21023.9,21134.45,20872.75,20749.45,22650.05,17269.5,30.91,4.2,0.87,21,129,16.91,-5.72
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8098.45,172.3,2.17,8022.8,8117.85,8002.7,7926.15,9282.7,6776.05,28.55,3.51,0.81,5,45,10.48,-4.94
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,15385.9,322.4,2.14,15251.4,15418.85,15177.05,15063.5,18077.35,13314.7,24.78,3.22,0.79,37,213,7.4,-5.89
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,18963.9,330.85,1.78,18874.8,19010.0,18755.45,18633.05,20668.15,15832.85,28.54,3.81,0.84,58,342,13.53,-5.78
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,15408.1,224.8,1.48,15363.85,15439.35,15256.25,15183.3,17112.15,5531.55,23.53,3.46,1.08,74,426,10.62,-5.91
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,15855.45,210.95,1.35,15833.6,15889.4,15713.1,15644.5,17095.2,5635.2,24.71,3.69,1.09,37,213,12.92,-5.86
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,12520.8,165.2,1.34,12499.3,12544.6,12405.45,12355.6,13842.6,6252.1,22.41,3.39,1.17,98,652,9.88,-6.06
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,20395.35,475.4,2.39,20205.3,20430.15,20073.6,19919.95,26476.9,5802.95,23.37,2.54,0.87,24,226,0.63,-9.19
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,16902.65,267.4,1.61,16838.4,16938.8,16726.7,16635.25,18838.1,14014.4,24.73,3.52,0.99,74,426,11.13,-5.87
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1516.3,15.95,1.06,1517.3,1519.2,1503.75,1500.35,1641.4,1346.5,22.96,3.63,1.25,23,127,0.0,-5.78
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,26770.55,804.6,3.1,26462.75,26840.7,26200.4,25965.95,29179.1,19316.65,30.7,4.45,1.22,1,14,29.0,-4.98
SECTORAL INDICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FINSRV25 50,28860.55,585.2,2.07,28596.6,28937.05,28506.15,28275.35,0.0,0.0,16.43,2.85,0.98,3,17,16.94,-6.16
SECTORAL INDICES,NIFTY FMCG,NIFTY FMCG,49603.55,411.15,0.84,49627.5,49717.55,49288.1,49192.4,58485.05,48740.95,35.48,8.81,1.67,3,12,-4.62,-4.85
SECTORAL INDICES,NIFTY IT,NIFTY IT,30024.0,-138.05,-0.46,30337.6,30360.15,29741.05,30162.05,40301.4,29533.9,21.43,5.6,3.51,3,7,-20.24,-15.95
SECTORAL INDICES,NIFTY MEDIA,NIFTY MEDIA,1351.75,20.05,1.51,1347.7,1354.95,1331.4,1331.7,1786.15,1302.55,27.95,1.4,1.36,0,10,-8.98,-9.05
SECTORAL INDICES,NIFTY METAL,NIFTY METAL,11868.5,179.7,1.54,11835.35,11907.45,11688.45,11688.8,12509.75,7690.2,19.83,3.04,1.57,0,15,34.1,-2.94
SECTORAL INDICES,NIFTY PHARMA,NIFTY PHARMA,23253.65,319.9,1.39,23042.55,23305.1,23039.35,22933.75,23492.55,19121.1,34.32,5,0.69,3,17,14.8,4.7
SECTORAL INDICES,NIFTY PSU BANK,NIFTY PSU BANK,9013.8,194.5,2.21,8945.2,9048.65,8873.1,8819.3,9918.65,5756.35,8.75,1.44,2.18,0,12,54.85,-1.55
SECTORAL INDICES,NIFTY PRIVATE BANK,NIFTY PVT BANK,27134.3,477.15,1.79,26885.75,27189.3,26782.2,26657.15,29748.45,24020.15,18.67,2.1,0.58,0,10,12.35,-6.64
SECTORAL INDICES,NIFTY REALTY,NIFTY REALTY,744.15,11.35,1.55,742.45,747.0,734.55,732.8,1049.7,714.95,33.01,3.55,0.41,0,10,-6.95,-12.39
SECTORAL INDICES,NIFTY HEALTHCARE INDEX,NIFTY HEALTHCARE,14938.9,166.5,1.13,14852.3,14985.15,14846.0,14772.4,15148.75,6482.8,37.52,5.54,0.57,3,17,15.33,4.65
SECTORAL INDICES,NIFTY CONSUMER DURABLES,NIFTY CONSR DURBL,36443.25,947.65,2.67,36047.45,36603.25,35797.95,35495.6,44426.55,14089.55,56.48,11.12,0.41,0,15,5.19,-3.49
SECTORAL INDICES,NIFTY OIL & GAS,NIFTY OIL AND GAS,11462.5,-45.3,-0.39,11611.9,11619.05,11423.6,11507.8,13607.2,4632.7,9.72,1.57,2.25,5,10,15.67,-6.79
SECTORAL INDICES,NIFTY MIDSMALL HEALTHCARE,NIFTY MIDSML HLTH,43631.45,690.35,1.61,43297.9,43752.35,43269.25,42941.1,46103.35,20019.15,40.21,5.24,0.44,9,21,14.26,3.3
