indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,25178.65,-317.9,-1.25,25459.85,25476.4,25141.3,25496.55,26373.2,21743.65,22.31,3.47,1.22,44,6,11.68,0.01
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,69710.9,-917.6,-1.3,70630.1,70630.1,69553.45,70628.5,70833.65,57250.25,19.74,3.66,1.33,46,4,18.62,4.52
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,60529.0,-658.7,-1.08,61057.45,61086.45,60438.95,61187.7,61764.85,47702.9,16.47,2.19,0.96,12,2,24.18,2.24
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,27869.75,-440.1,-1.55,28204.35,28233.8,27825.9,28309.85,28562.5,22934.55,18.08,2.98,0.83,19,1,20.26,3.0
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13491.45,-161.5,-1.18,13645.35,13674.2,13467.05,13652.95,14118.4,6054.2,28.63,4.5,0.82,22,3,23.13,2.69
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25897.55,-329.3,-1.26,26195.55,26211.45,25861.85,26226.85,26975.15,22177.35,21.83,3.5,1.24,90,10,12.85,0.74
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14121.05,-176.5,-1.23,14281.35,14288.15,14101.75,14297.55,14700.95,11941.45,23.3,3.63,1.16,170,30,14.08,1.12
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23166.85,-281.65,-1.2,23423.95,23433.55,23136.75,23448.5,24144.2,19519.85,23.78,3.64,1.11,387,113,14.04,1.52
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,16765.6,-179.45,-1.06,16944.0,16963.2,16737.2,16945.05,17572.45,13269.65,32.62,4.51,0.81,40,10,21.27,2.03
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,59115.6,-682.55,-1.14,59746.4,59774.9,59014.1,59798.15,61548.85,46966.6,33.24,4.35,0.81,80,20,20.31,2.84
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,16928.9,-188.75,-1.1,17109.75,17112.0,16904.5,17117.65,19224.95,14084.3,30.48,3.7,0.75,75,25,11.69,3.1
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,13.7,0.64,4.89,13.06,14.04,11.2,13.06,23.19,8.72,0,0,0,,,2.93,-5.19
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,21847.35,-239.8,-1.09,22065.1,22076.05,21809.75,22087.15,22650.05,17269.5,32.89,4.47,0.82,116,34,20.19,3.45
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8302.3,-107.55,-1.28,8404.35,8410.55,8289.05,8409.85,9282.7,6776.05,30.29,3.73,0.77,38,12,13.37,3.24
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,15881.05,-166.4,-1.04,16045.9,16047.15,15861.75,16047.45,18077.35,13314.7,26.39,3.43,0.74,181,69,11.84,3.49
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,19627.5,-212.15,-1.07,19825.85,19827.35,19600.2,19839.65,20668.15,15832.85,30.38,4.05,0.79,297,103,17.25,3.46
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,15962.65,-187.15,-1.16,16135.7,16140.25,15942.5,16149.8,17112.15,8254.5,25.03,3.68,1.01,387,113,14.45,2.09
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16442.55,-194.7,-1.17,16619.05,16623.75,16421.75,16637.25,17095.2,8318.55,26.27,3.93,1.03,206,44,16.49,2.09
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,12985.75,-157.3,-1.2,13129.7,13134.95,12968.85,13143.05,13842.6,7145.35,23.83,3.6,1.1,568,181,13.77,1.6
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,21297.3,-231.2,-1.07,21525.15,21528.35,21264.95,21528.5,26476.9,8567.2,25.29,2.74,0.81,181,68,7.15,3.61
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,17501.6,-199.4,-1.13,17687.4,17690.9,17480.0,17701.0,18330.05,14479.0,26.31,3.75,0.93,387,113,14.97,2.54
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1565.25,-19.65,-1.24,1583.5,1584.25,1563.1,1584.9,1641.4,1346.5,24.25,3.84,1.18,131,19,0.0,0.59
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,28158.85,-534.55,-1.86,28623.2,28687.0,28094.25,28693.4,29179.1,19316.65,33.92,4.92,1.1,14,1,31.98,6.04
