indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,25320.65,-98.25,-0.39,25247.55,25370.7,25213.65,25418.9,26373.2,21743.65,22.04,3.44,1.3,25,25,10.72,-2.02
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,67839.85,-569.9,-0.83,68146.85,68153.0,67439.8,68409.75,70833.65,56192.45,19.37,3.52,1.42,28,22,12.31,-0.33
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,59610.45,-347.4,-0.58,59542.25,59906.9,59501.8,59957.85,60437.35,47702.9,16.22,2.13,0.98,8,5,22.7,1.74
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,27330.85,-178.75,-0.65,27339.65,27463.1,27288.2,27509.6,28065.5,22819.9,17.63,2.88,0.85,13,7,20.62,0.53
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13400.05,-24.3,-0.18,13360.35,13462.15,13273.8,13424.35,14118.4,6054.2,28.25,4.42,0.86,10,15,15.29,-1.66
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25902.0,-119.7,-0.46,25858.7,25950.2,25785.7,26021.7,26975.15,22177.35,21.56,3.46,1.32,53,47,11.01,-1.74
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14093.05,-58.05,-0.41,14061.5,14117.05,14019.4,14151.1,14700.95,11941.45,22.92,3.58,1.23,102,96,11.44,-1.87
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23079.5,-55.3,-0.24,22994.3,23110.2,22916.0,23134.8,24144.2,19519.85,23.48,3.59,1.17,179,317,10.56,-2.31
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,16693.25,-43.0,-0.26,16642.95,16751.5,16542.8,16736.25,17572.45,13269.65,32.32,4.45,0.84,27,22,16.7,-2.11
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,58432.0,-109.0,-0.19,58151.6,58628.85,57769.45,58541.0,61548.85,46865.7,32.07,4.25,0.83,49,49,13.61,-2.43
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,16879.1,54.1,0.32,16739.6,16946.85,16565.65,16825.0,19224.95,14084.3,30.03,3.65,0.77,32,67,5.1,-4.23
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,13.63,0.26,1.96,13.37,14.23,12.88,13.37,23.19,8.72,,,,,,-26.52,37.55
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,21490.9,7.25,0.03,21353.8,21539.35,21225.45,21483.65,22650.05,17269.5,31.81,4.35,0.84,62,86,12.96,-2.79
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8189.35,14.3,0.17,8145.7,8237.2,8054.2,8175.05,9282.7,6776.05,29.53,3.63,0.81,19,31,6.88,-4.33
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,15763.45,133.15,0.85,15556.65,15781.75,15416.7,15630.3,18077.35,13314.7,27.14,3.37,0.76,64,184,3.27,-5.42
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,19365.95,59.6,0.31,19198.35,19400.25,19076.7,19306.35,20668.15,15832.85,30.06,3.96,0.81,126,270,9.51,-3.69
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,15868.9,-2.75,-0.02,15779.1,15882.25,15710.9,15871.65,17112.15,8254.5,24.81,3.62,1.06,179,317,9.67,-2.92
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16309.0,-35.0,-0.21,16243.45,16330.6,16176.95,16344.0,17095.2,8318.55,25.69,3.85,1.08,115,133,12.05,-2.27
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,12937.95,-21.65,-0.17,12880.35,12953.2,12836.35,12959.6,13842.6,7145.35,23.54,3.55,1.16,233,513,10.04,-2.45
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,21268.75,378.7,1.81,20739.45,21332.1,20596.4,20890.05,26476.9,8567.2,25.22,2.72,0.83,54,196,-2.99,-6.09
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,17363.55,23.05,0.13,17241.95,17382.2,17154.9,17340.5,18330.05,14479.0,26.15,3.68,0.97,179,317,9.17,-3.32
