indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,23853.9,231.0,0.98,23984.85,24011.4,23817.8,23622.9,26373.2,22182.55,20.37,3.11,1.23,16,34,-3.5,0.89
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,71685.25,1678.05,2.4,71155.7,73098.95,71119.8,70007.2,73098.95,59896.1,18.93,3.53,1.37,12,42,7.03,3.47
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,57198.8,384.0,0.68,57679.65,57804.5,57119.2,56814.8,61764.85,49954.85,14.29,1.85,0.92,1,13,3.01,6.49
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26274.8,331.45,1.28,26423.5,26512.95,26232.7,25943.35,28562.5,23373.95,16.7,2.71,0.84,2,18,-0.23,3.67
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14426.35,180.75,1.27,14479.5,14537.2,14398.05,14245.6,14770.5,12046.2,29.7,4.8,0.56,6,19,11.04,1.82
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,24907.85,305.6,1.24,24984.15,25076.45,24870.4,24602.25,26975.15,22720.45,20.09,3.18,1.25,28,76,-1.67,1.37
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13788.9,170.35,1.25,13831.0,13868.65,13767.95,13618.55,14700.95,12396.1,21.41,3.4,1.13,51,153,-0.26,1.42
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,22891.3,291.5,1.29,22955.8,23019.45,22859.65,22599.8,24144.2,20385.65,22.41,3.45,1.08,124,380,-0.07,1.6
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17501.9,236.0,1.37,17541.15,17591.7,17471.3,17265.9,17859.1,14804.55,32.23,4.69,0.6,11,39,6.77,1.32
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,61549.65,781.55,1.29,61734.05,61886.45,61446.75,60768.1,62907.5,52032.85,29.15,4.74,0.64,23,77,5.71,1.62
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,18400.0,202.55,1.11,18485.7,18532.7,18368.45,18197.45,19224.95,14986.0,30.79,3.54,0.66,28,72,0.14,2.89
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,14.35,-0.37,-2.48,14.72,14.72,13.56,14.72,28.91,8.72,0,0,0,,,-4.84,-23.63
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,22585.1,327.2,1.47,22614.75,22700.85,22550.35,22257.9,23007.1,19218.0,28.48,4.69,0.68,36,114,5.38,1.47
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,9073.5,97.4,1.09,9117.0,9140.65,9060.95,8976.1,9282.7,7338.35,30.39,3.39,0.67,15,35,2.61,2.82
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,17292.7,213.6,1.25,17364.45,17396.7,17265.7,17079.1,18077.35,14143.45,33.82,3.62,0.69,60,190,0.48,3.41
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,20645.6,284.15,1.4,20692.55,20753.35,20621.45,20361.45,20886.3,17390.85,30.09,4.26,0.68,96,304,3.58,2.12
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,16144.6,207.4,1.3,16191.4,16232.95,16124.7,15937.2,16681.75,14102.2,24.38,3.58,0.97,124,380,0.74,1.9
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16405.1,220.1,1.36,16440.5,16488.75,16380.5,16185.0,17077.75,14445.65,23.7,3.82,0.96,64,190,1.83,1.42
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,12905.05,166.75,1.31,12940.0,12977.55,12887.75,12738.3,13548.0,11436.55,22.57,3.45,1.06,175,579,0.05,1.76
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,24377.75,420.9,1.76,24382.2,24537.7,24291.6,23956.85,24841.45,18858.5,27.07,3.43,0.65,51,199,2.29,5.69
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,17991.3,234.55,1.32,18042.5,18086.9,17970.65,17756.75,18330.05,15495.1,26.24,3.73,0.87,124,380,1.51,2.08
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1536.7,19.8,1.31,1539.85,1545.6,1534.3,1516.9,1641.4,1346.5,21.93,3.56,1.16,41,113,0.0,0.89
BROAD MARKET INDICES,NIFTY SMALLCAP 500,NIFTY SMALLCAP 500,19667.1,270.9,1.4,19726.5,19781.75,19636.6,19396.2,20338.25,15960.2,31.42,3.57,0.69,111,389,0.0,4.01
BROAD MARKET INDICES,NIFTY MIDSMALLCAP400 50:50,NIFTY MIDSMALL 50 50,20051.0,269.0,1.36,20105.8,20157.0,20026.4,19782.0,20218.05,16874.3,30.93,4.08,0.69,96,304,0.0,2.43
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,26977.5,683.65,2.6,26692.0,27127.45,26650.4,26293.85,29179.1,23360.85,30.33,4.51,1.25,2,13,15.65,3.48
SECTORAL INDICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FINSRV25 50,28483.65,390.3,1.39,28614.35,28744.75,28434.6,28093.35,0.0,0.0,16.31,2.79,0.96,2,18,0.21,2.89
SECTORAL INDICES,NIFTY FMCG,NIFTY FMCG,49043.4,215.8,0.44,49422.2,49510.85,48963.3,48827.6,58485.05,45334.15,33.6,8.44,0.95,9,6,-10.06,-3.93
SECTORAL INDICES,NIFTY IT,NIFTY IT,28067.85,272.1,0.98,28178.85,28384.25,27955.05,27795.75,40301.4,27078.0,18.8,5.09,3.25,1,9,-27.04,1.27
SECTORAL INDICES,NIFTY MEDIA,NIFTY MEDIA,1485.5,-2.1,-0.14,1500.95,1506.1,1480.4,1487.6,1786.15,1245.05,35.31,1.57,1.18,1,9,-13.94,3.44
SECTORAL INDICES,NIFTY METAL,NIFTY METAL,13083.85,229.35,1.78,13004.9,13931.35,12974.9,12854.5,13931.35,9025.1,19.1,3.16,1.65,9,10,41.31,-1.63
SECTORAL INDICES,NIFTY PHARMA,NIFTY PHARMA,24220.1,-159.95,-0.66,24551.65,24553.5,24198.15,24380.05,25043.15,21149.9,37.26,5.12,0.75,16,4,10.17,-1.68
SECTORAL INDICES,NIFTY PSU BANK,NIFTY PSU BANK,8581.3,52.55,0.62,8663.55,8721.85,8562.6,8528.75,9918.65,6730.3,8.16,1.2,1.78,0,12,23.74,6.9
SECTORAL INDICES,NIFTY PRIVATE BANK,NIFTY PVT BANK,27811.6,161.9,0.59,28036.5,28114.4,27739.55,27649.7,29748.45,23957.45,18.17,2.2,0.58,1,9,1.03,6.56
SECTORAL INDICES,NIFTY REALTY,NIFTY REALTY,800.05,30.45,3.96,786.3,804.6,785.4,769.6,1029.6,638.65,33.75,3.64,0.39,0,10,-20.56,5.78
SECTORAL INDICES,NIFTY HEALTHCARE INDEX,NIFTY HEALTHCARE,15488.55,-63.15,-0.41,15656.9,15657.9,15472.85,15551.7,16002.7,13536.5,40.3,5.64,0.63,15,5,8.09,-1.67
SECTORAL INDICES,NIFTY CONSUMER DURABLES,NIFTY CONSR DURBL,35995.85,1013.0,2.9,35473.3,36152.95,35459.15,34982.85,40472.45,32587.95,62.91,11.25,0.43,0,13,-1.99,1.24
SECTORAL INDICES,NIFTY OIL & GAS,NIFTY OIL AND GAS,11180.6,168.3,1.53,11250.0,11257.05,11162.15,11012.3,12445.7,10580.95,8.64,1.49,2.54,3,12,-2.3,-0.62
SECTORAL INDICES,NIFTY MIDSMALL HEALTHCARE,NIFTY MIDSML HLTH,47727.0,-517.85,-1.07,48677.7,48691.85,47680.95,48244.85,49130.4,40352.9,43.3,5.89,0.38,24,6,11.75,-0.65
SECTORAL INDICES,NIFTY FINANCIAL SERVICES EX-BANK,NIFTY FINSEREXBNK,31284.3,909.25,2.99,31025.5,31432.05,30977.95,30375.05,32654.2,26788.05,21.68,4.16,0.61,1,29,5.33,0.2
SECTORAL INDICES,NIFTY MIDSMALL FINANCIAL SERVICES,NIFTY MS FIN SERV,22242.7,493.2,2.27,22119.65,22323.6,22068.1,21749.5,22712.05,17421.5,28.1,3.21,0.42,1,29,21.16,2.08
SECTORAL INDICES,NIFTY MIDSMALL IT & TELECOM,NIFTY MS IT TELCM,9350.1,76.75,0.83,9444.6,9458.4,9339.9,9273.35,10592.9,7748.35,18.3,8.65,0.97,6,14,-8.03,5.86
SECTORAL INDICES,NIFTY CHEMICALS,NIFTY CHEMICALS,29530.05,268.45,0.92,29689.45,29707.8,29480.75,29261.6,31895.45,24851.65,46.87,4.33,0.6,7,13,-3.55,1.2
SECTORAL INDICES,NIFTY500 HEALTHCARE,NIFTY500 HEALTH,20020.0,-120.05,-0.6,20304.85,20305.9,20004.4,20140.05,20529.6,16294.6,42.26,5.96,0.56,37,12,0.0,-0.6
SECTORAL INDICES,NIFTY REITS & REALTY,NIFTY REITS REALTY,1802.65,33.15,1.87,1787.35,1807.05,1786.9,1769.5,1976.65,1632.55,47.21,2.45,3.31,0,15,0.0,2.76
SECTORAL INDICES,NIFTY CEMENT,NIFTY CEMENT,14881.0,400.65,2.77,14711.95,14940.85,14706.3,14480.35,18188.6,13534.8,27.29,2.18,0.54,1,15,0.0,-0.02
STRATEGY INDICES,NIFTY DIVIDEND OPPORTUNITIES 50,NIFTY DIV OPPS 50,5844.25,69.75,1.21,5863.5,5940.15,5835.25,5774.5,6584.65,5614.0,13.22,2.6,2.61,14,40,-3.12,-0.72
STRATEGY INDICES,NIFTY GROWTH SECTORS 15,NIFTY GROWSECT 15,10809.95,140.4,1.32,10793.65,10861.1,10764.15,10669.55,12852.45,10329.35,27.66,6.73,1.64,7,8,-4.5,0.2
STRATEGY INDICES,NIFTY100 QUALITY 30,NIFTY100 QUALTY30,5456.55,45.05,0.83,5486.35,5487.65,5448.7,5411.5,0.0,0.0,28.28,7.23,1.84,10,20,-2.25,-0.77
STRATEGY INDICES,NIFTY50 VALUE 20,NIFTY50 VALUE 20,12048.2,35.6,0.3,12159.35,12166.8,12034.45,12012.6,13684.4,11528.6,15.74,2.66,1.74,7,13,-5.92,1.08
STRATEGY INDICES,NIFTY50 TR 2X LEVERAGE,NIFTY50 TR 2X LEV,17812.3,334.35,1.91,18006.1,18042.05,17759.25,17477.95,22435.45,15547.15,0,0,0,,,-11.26,1.57
STRATEGY INDICES,NIFTY50 PR 2X LEVERAGE,NIFTY50 PR 2X LEV,11814.0,221.75,1.91,11942.55,11966.35,11778.8,11592.25,14993.4,10365.7,0,0,0,,,-13.12,1.23
STRATEGY INDICES,NIFTY50 TR 1X INVERSE,NIFTY50 TR 1X INV,180.45,-1.7,-0.93,179.4,180.7,179.25,182.15,193.35,161.8,0,0,0,,,6.3,-0.72
STRATEGY INDICES,NIFTY50 PR 1X INVERSE,NIFTY50 PR 1X INV,221.2,-2.05,-0.92,219.95,221.5,219.7,223.25,236.5,197.8,0,0,0,,,7.35,-0.58
STRATEGY INDICES,NIFTY50 DIVIDEND POINTS,NIFTY50 DIV POINT,62.14,0.0,0.0,62.14,62.14,62.14,62.14,0.0,0.0,0,0,0,,,-20.03,192.84
STRATEGY INDICES,NIFTY ALPHA 50,NIFTY ALPHA 50,53244.85,957.7,1.83,53172.8,53655.05,52993.0,52287.15,0.0,0.0,26.4,4.21,0.73,11,43,2.65,2.64
STRATEGY INDICES,NIFTY50 EQUAL WEIGHT,NIFTY50 EQL WGT,32387.15,376.6,1.18,32486.4,32537.2,32342.85,32010.55,0.0,0.0,24.62,3.62,1.29,16,34,4.4,0.2
STRATEGY INDICES,NIFTY100 EQUAL WEIGHT,NIFTY100 EQL WGT,34116.95,512.7,1.53,34125.0,34308.65,34067.65,33604.25,0.0,0.0,21.73,3.54,1.26,28,76,5.78,1.89
STRATEGY INDICES,NIFTY100 LOW VOLATILITY 30,NIFTY100 LOWVOL30,19649.6,166.35,0.85,19749.75,19756.35,19625.35,19483.25,0.0,0.0,26.69,4.54,1.33,10,20,-0.13,0.15
STRATEGY INDICES,NIFTY200 QUALITY 30,NIFTY200 QUALTY30,19845.7,165.4,0.84,19970.05,19971.1,19815.55,19680.3,0.0,0.0,28.73,9.45,1.84,7,23,-3.69,-1.01
