indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,25482.5,57.85,0.23,25512.6,25652.6,25428.2,25424.65,26373.2,21743.65,22.25,3.46,1.23,16,34,13.02,1.73
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,70399.25,620.8,0.89,70045.5,70498.75,70014.65,69778.45,70833.65,56192.45,19.51,3.62,1.34,16,34,18.69,6.25
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,61043.35,-3.95,-0.01,61175.05,61317.55,60816.75,61047.3,61764.85,47702.9,16.44,2.18,0.96,8,6,25.58,4.4
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,28339.65,44.55,0.16,28374.05,28458.75,28236.0,28295.1,28562.5,22855.6,18.07,2.98,0.83,6,14,23.02,5.66
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13558.55,109.9,0.82,13506.1,13596.8,13462.65,13448.65,14118.4,5520.25,28.2,4.44,0.83,9,16,22.64,3.76
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,26200.5,88.3,0.34,26204.15,26347.35,26131.45,26112.2,26975.15,22177.35,21.74,3.48,1.25,32,68,13.98,2.46
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14268.65,54.2,0.38,14264.75,14336.7,14225.25,14214.45,14700.95,11941.45,23.16,3.61,1.17,71,129,14.9,2.73
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23403.8,99.2,0.43,23388.45,23500.1,23325.9,23304.6,24144.2,19519.85,23.64,3.62,1.12,188,311,14.62,3.07
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,16828.7,109.95,0.66,16787.95,16871.35,16717.45,16718.75,17572.45,13269.65,32.18,4.45,0.82,18,32,20.7,2.94
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,59406.1,339.75,0.58,59280.0,59528.15,59051.6,59066.35,61548.85,46865.7,32.83,4.3,0.82,39,61,19.52,3.96
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,17118.7,160.05,0.94,17032.75,17146.9,17015.9,16958.65,19224.95,14084.3,30.2,3.67,0.75,29,70,11.1,4.68
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,13.49,-0.66,-4.68,14.15,14.15,12.84,14.15,23.19,8.72,0,0,0,,,-1.68,-4.93
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,21959.05,138.85,0.64,21901.8,21985.65,21822.35,21820.2,22650.05,17269.5,32.5,4.41,0.83,59,91,19.29,4.52
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8417.35,83.35,1.0,8369.55,8442.15,8363.0,8334.0,9282.7,6776.05,30.02,3.69,0.77,12,37,13.29,5.42
