indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,24174.15,-152.5,-0.63,24233.65,24253.8,24138.4,24326.65,26373.2,22182.55,21.16,3.33,1.28,30,20,-0.41,0.74
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,71555.95,-296.95,-0.41,71776.4,71889.6,71452.6,71852.9,72037.6,59896.1,20.14,3.83,1.39,33,17,14.01,8.18
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,55430.55,-616.85,-1.1,55783.95,55797.7,55368.5,56047.4,61764.85,49954.85,14.14,1.91,1.05,11,3,1.96,-0.49
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26111.7,-337.8,-1.28,26344.35,26353.15,26087.2,26449.5,28562.5,23373.95,17.11,2.84,0.86,18,2,0.5,0.23
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14488.75,-62.7,-0.43,14547.5,14590.6,14459.55,14551.45,14577.2,5520.25,32.35,4.95,0.61,15,10,20.91,9.6
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25170.45,-149.05,-0.59,25235.7,25247.15,25133.95,25319.5,26975.15,22720.45,20.96,3.41,1.3,63,37,2.0,2.04
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13920.0,-71.9,-0.51,13956.25,13962.9,13900.15,13991.9,14700.95,12396.1,22.84,3.63,1.18,121,79,4.45,3.33
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23117.5,-96.5,-0.42,23166.05,23185.65,23080.3,23214.0,24144.2,20385.65,23.65,3.67,1.11,284,216,5.83,4.43
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17621.65,4.1,0.02,17636.55,17686.3,17555.45,17617.55,17644.1,14783.9,34.76,4.8,0.6,25,25,16.71,8.71
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,61875.2,-127.95,-0.21,62039.15,62113.85,61766.35,62003.15,62094.4,52032.85,36.11,4.89,0.66,58,42,16.24,8.94
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,18753.05,57.4,0.31,18714.4,18795.8,18669.1,18695.65,19224.95,14986.0,31.74,3.65,0.64,56,44,15.88,13.39
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,17.06,0.44,2.63,16.62,17.43,16.16,16.62,28.91,8.72,0,0,0,,,-18.8,-13.4
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,22765.0,-39.95,-0.18,22824.5,22846.7,22728.0,22804.95,22836.9,19165.1,34.17,4.88,0.7,87,63,16.2,8.87
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,9176.55,7.95,0.09,9179.95,9208.25,9148.15,9168.6,9282.7,7338.35,29.65,3.47,0.66,29,21,17.66,13.59
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,17453.4,44.4,0.26,17416.4,17506.4,17389.95,17409.0,18077.35,14143.45,31.26,3.68,0.68,134,116,14.97,12.72
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,20819.35,-6.25,-0.03,20840.4,20886.3,20777.25,20825.6,20855.45,17390.85,33.13,4.39,0.69,221,179,15.71,10.15
