indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,24865.7,-312.95,-1.24,24659.25,24989.35,24603.5,25178.65,26373.2,21743.65,21.76,3.38,1.25,42,8,12.42,-3.35
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,68650.25,-1060.65,-1.52,67393.3,69144.45,67352.55,69710.9,70833.65,57250.25,19.19,3.56,1.34,44,6,19.09,-0.29
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,59839.65,-689.35,-1.14,59204.3,60177.5,59148.0,60529.0,61764.85,47702.9,16.03,2.09,0.98,14,0,24.37,-0.34
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,27564.1,-305.65,-1.1,27353.1,27710.45,27298.0,27869.75,28562.5,22934.55,17.6,2.9,0.84,19,1,20.09,-0.4
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13289.85,-201.6,-1.49,13039.7,13450.65,13037.55,13491.45,14118.4,5520.25,27.95,4.38,0.84,22,3,22.31,-2.68
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25563.5,-334.05,-1.29,25308.3,25699.55,25288.75,25897.55,26975.15,22177.35,21.28,3.41,1.27,86,14,13.54,-2.85
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13931.3,-189.75,-1.34,13769.9,14019.45,13764.6,14121.05,14700.95,11941.45,22.71,3.53,1.19,176,24,14.81,-2.68
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,22835.95,-330.9,-1.43,22547.0,22992.35,22539.65,23166.85,24144.2,19519.85,23.17,3.55,1.14,443,57,14.77,-2.6
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,16520.35,-245.25,-1.46,16201.9,16705.65,16197.8,16765.6,17572.45,13269.65,31.85,4.4,0.82,44,6,21.45,-2.9
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,58180.5,-935.1,-1.58,57090.8,58814.35,57074.75,59115.6,61548.85,46966.6,32.37,4.23,0.83,90,10,21.25,-1.9
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,16632.4,-296.5,-1.75,16289.6,16839.2,16284.7,16928.9,19224.95,14084.3,29.62,3.6,0.77,90,10,13.45,-2.1
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,17.13,3.43,25.01,13.7,17.81,12.83,13.7,23.19,8.72,0,0,0,,,24.49,32.79
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,21476.25,-371.1,-1.7,21079.85,21712.0,21075.45,21847.35,22650.05,17269.5,32.01,4.34,0.84,138,12,20.8,-1.8
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8167.25,-135.05,-1.63,7986.6,8260.6,7983.8,8302.3,9282.7,6776.05,29.42,3.62,0.79,43,7,14.88,-1.22
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,15580.4,-300.65,-1.89,15260.7,15749.1,15258.1,15881.05,18077.35,13314.7,25.63,3.33,0.76,219,31,13.26,-2.39
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,19281.25,-346.25,-1.76,18912.05,19486.45,18908.5,19627.5,20668.15,15832.85,29.55,3.94,0.81,357,43,18.15,-2.0
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,15716.55,-246.1,-1.54,15485.35,15840.25,15481.5,15962.65,17112.15,5531.55,24.36,3.58,1.04,443,57,15.28,-2.47
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16196.65,-245.9,-1.5,15966.0,16328.5,15961.35,16442.55,17095.2,5635.2,25.59,3.82,1.05,224,26,17.14,-2.33
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,12796.6,-189.15,-1.46,12630.25,12886.9,12626.4,12985.75,13842.6,6252.1,23.21,3.51,1.13,667,83,14.51,-2.67
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,20824.55,-472.75,-2.22,20358.05,21106.95,20357.3,21297.3,26476.9,5802.95,24.52,2.66,0.84,224,26,7.79,-4.4
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,17217.05,-284.55,-1.63,16936.5,17367.4,16932.9,17501.6,18838.1,14014.4,25.6,3.64,0.96,443,57,15.86,-2.35
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1543.85,-21.4,-1.37,1526.45,1554.15,1525.8,1565.25,1641.4,1346.5,23.63,3.74,1.21,132,18,0.0,-3.17
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,27540.1,-618.75,-2.2,27196.4,27951.85,27133.55,28158.85,29179.1,19316.65,32.56,4.72,1.15,14,1,34.09,0.14
SECTORAL INDICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FINSRV25 50,29888.95,-340.9,-1.13,29623.95,30050.65,29597.45,30229.85,0.0,0.0,17.37,3.02,0.93,19,1,22.04,-1.0
SECTORAL INDICES,NIFTY FMCG,NIFTY FMCG,50751.65,-390.55,-0.76,49968.25,50879.5,49954.15,51142.2,58485.05,49336.5,36.6,9.09,1.62,14,1,-0.07,-0.11
SECTORAL INDICES,NIFTY IT,NIFTY IT,30272.95,-330.9,-1.08,30020.15,30587.3,29889.5,30603.85,40301.4,29875.0,21.51,5.62,3.5,10,0,-19.52,-21.6
SECTORAL INDICES,NIFTY MEDIA,NIFTY MEDIA,1390.35,-25.8,-1.82,1380.15,1406.2,1373.8,1416.15,1786.15,1313.85,29.18,1.46,1.3,8,2,1.37,0.63
SECTORAL INDICES,NIFTY METAL,NIFTY METAL,12269.8,29.15,0.24,11909.9,12344.8,11896.0,12240.65,12509.75,7690.2,20.81,3.19,1.5,8,7,47.54,3.17
SECTORAL INDICES,NIFTY PHARMA,NIFTY PHARMA,22956.7,4.35,0.02,22385.3,22994.55,22354.1,22952.35,23492.55,19121.1,34.35,5,0.69,12,8,15.48,3.41
SECTORAL INDICES,NIFTY PSU BANK,NIFTY PSU BANK,9639.35,-181.1,-1.84,9538.05,9742.4,9526.5,9820.45,9918.65,5729.15,9.56,1.58,1.99,12,0,71.18,9.29
SECTORAL INDICES,NIFTY PRIVATE BANK,NIFTY PVT BANK,28357.95,-259.6,-0.91,28134.8,28470.35,28093.65,28617.55,29748.45,23783.15,19.86,2.24,0.55,10,0,17.54,-1.92
SECTORAL INDICES,NIFTY REALTY,NIFTY REALTY,768.05,-12.55,-1.61,751.75,770.65,751.75,780.6,1049.7,742.2,34.59,3.72,0.39,10,0,-4.94,-5.8
SECTORAL INDICES,NIFTY HEALTHCARE INDEX,NIFTY HEALTHCARE,14857.35,-13.75,-0.09,14492.3,14883.35,14480.55,14871.1,15148.75,6482.8,37.73,5.57,0.57,13,7,16.63,4.43
SECTORAL INDICES,NIFTY CONSUMER DURABLES,NIFTY CONSR DURBL,36778.35,-807.55,-2.15,36546.2,37230.3,36237.15,37585.9,44426.55,14089.55,58.52,11.52,0.4,14,1,5.81,3.76
SECTORAL INDICES,NIFTY OIL & GAS,NIFTY OIL AND GAS,12001.3,-263.6,-2.15,12085.4,12159.55,11888.05,12264.9,13607.2,4632.7,10.14,1.64,2.15,13,2,26.15,0.76
SECTORAL INDICES,NIFTY MIDSMALL HEALTHCARE,NIFTY MIDSML HLTH,43578.25,-376.05,-0.86,42565.8,43686.6,42565.8,43954.3,46103.35,20019.15,40.81,5.32,0.44,22,8,16.51,3.65
SECTORAL INDICES,NIFTY FINANCIAL SERVICES EX-BANK,NIFTY FINSEREXBNK,30869.7,-520.95,-1.66,30522.4,31216.0,30495.3,31390.65,32654.2,21702.4,23.17,4.35,0.78,28,2,27.36,-1.37
SECTORAL INDICES,NIFTY MIDSMALL FINANCIAL SERVICES,NIFTY MS FIN SERV,20275.55,-309.5,-1.5,19930.9,20554.3,19916.65,20585.05,21300.0,12407.95,28.24,2.92,0.65,28,2,48.45,-1.72
SECTORAL INDICES,NIFTY MIDSMALL IT & TELECOM,NIFTY MS IT TELCM,8355.65,-143.75,-1.69,8189.35,8503.45,8168.7,8499.4,11723.2,7836.0,59.41,8.17,1.3,19,1,-4.74,-16.62
SECTORAL INDICES,NIFTY CHEMICALS,NIFTY CHEMICALS,27386.35,-378.5,-1.36,26754.65,27563.85,26754.55,27764.85,31895.45,25227.25,38.64,4.04,0.63,18,2,0.0,-3.49
SECTORAL INDICES,NIFTY500 HEALTHCARE,NIFTY500 HEALTH,18785.75,-73.7,-0.39,18332.75,18817.2,18317.65,18859.45,19594.1,16294.6,38.78,5.68,0.54,36,14,0.0,3.99
STRATEGY INDICES,NIFTY DIVIDEND OPPORTUNITIES 50,NIFTY DIV OPPS 50,6246.65,-69.75,-1.1,6171.4,6281.45,6165.5,6316.4,6584.65,5288.6,14.35,2.9,2.75,44,6,13.15,-2.89
