indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,24166.25,-160.4,-0.66,24233.65,24253.8,24138.4,24326.65,26373.2,22182.55,21.16,3.33,1.28,30,19,-0.44,0.7
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,71526.0,-326.9,-0.45,71776.4,71889.6,71452.6,71852.9,72037.6,59896.1,20.14,3.83,1.39,37,13,13.97,8.13
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,55433.05,-614.35,-1.1,55783.95,55797.7,55368.5,56047.4,61764.85,49954.85,14.14,1.91,1.05,11,3,1.96,-0.49
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26110.4,-339.1,-1.28,26344.35,26353.15,26087.2,26449.5,28562.5,23373.95,17.11,2.84,0.86,18,2,0.5,0.22
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14493.9,-57.55,-0.4,14547.5,14590.6,14459.55,14551.45,14577.2,5520.25,32.35,4.95,0.61,14,11,20.95,9.64
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25162.2,-157.3,-0.62,25235.7,25247.15,25133.95,25319.5,26975.15,22720.45,20.96,3.41,1.3,67,32,1.96,2.01
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13916.2,-75.7,-0.54,13956.25,13962.9,13900.15,13991.9,14700.95,12396.1,22.84,3.63,1.18,126,73,4.42,3.3
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23114.4,-99.6,-0.43,23166.05,23185.65,23080.3,23214.0,24144.2,20385.65,23.65,3.67,1.11,284,215,5.82,4.41
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17623.7,6.15,0.03,17636.55,17686.3,17555.45,17617.55,17644.1,14783.9,34.76,4.8,0.6,24,26,16.72,8.72
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,61872.5,-130.65,-0.21,62039.15,62113.85,61766.35,62003.15,62094.4,52032.85,36.11,4.89,0.66,59,41,16.24,8.93
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,18764.8,69.15,0.37,18714.4,18795.8,18669.1,18695.65,19224.95,14986.0,31.74,3.65,0.64,52,48,15.95,13.46
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,17.13,0.51,3.03,16.62,17.43,16.16,16.62,28.91,8.72,0,0,0,,,-18.47,-13.05
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,22766.85,-38.1,-0.17,22824.5,22846.7,22728.0,22804.95,22836.9,19165.1,34.17,4.88,0.7,89,61,16.21,8.88
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,9184.75,16.15,0.18,9179.95,9208.25,9148.15,9168.6,9282.7,7338.35,29.65,3.47,0.66,26,24,17.77,13.69
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,17465.95,56.95,0.33,17416.4,17506.4,17389.95,17409.0,18077.35,14143.45,31.26,3.68,0.68,128,122,15.06,12.8
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,20825.6,0.0,0.0,20840.4,20886.3,20777.25,20825.6,20855.45,17390.85,33.13,4.39,0.69,217,183,15.75,10.18
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,16298.85,-41.3,-0.25,16319.65,16346.9,16267.95,16340.15,17112.15,5531.55,25.76,3.77,0.98,284,215,8.81,6.45
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16554.3,-64.4,-0.39,16599.35,16608.6,16531.0,16618.7,17095.2,5635.2,26.17,4.04,0.99,156,93,8.95,5.44
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,13018.45,-53.05,-0.41,13046.3,13059.0,12998.5,13071.5,13842.6,6252.1,23.81,3.66,1.09,420,329,6.19,4.79
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,24058.6,35.15,0.15,24054.15,24153.85,23987.55,24023.45,26476.9,5802.95,28.49,3.41,0.64,136,114,15.85,14.45
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,18159.95,-24.85,-0.14,18173.8,18212.25,18120.95,18184.8,18838.1,14014.4,27.75,3.9,0.88,284,215,11.11,7.92
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1557.8,-6.8,-0.43,1560.9,1562.55,1554.95,1564.6,1641.4,1346.5,23.7,3.79,1.19,92,57,0.0,3.54
