indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,23114.5,112.35,0.49,23110.15,23345.15,23067.6,23002.15,26373.2,21743.65,20.13,3.13,1.36,14,36,-0.33,-9.61
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,63862.3,288.5,0.45,64035.75,64918.35,63744.65,63573.8,70833.65,57250.25,17.77,3.29,1.47,19,31,2.49,-8.05
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,53427.05,-23.95,-0.04,53548.2,54382.45,53297.55,53451.0,61764.85,49156.95,14.32,1.87,1.1,5,9,6.72,-12.66
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,24781.15,-170.65,-0.68,24997.15,25219.4,24721.25,24951.8,28562.5,23546.5,15.94,2.63,0.91,17,3,1.94,-12.16
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,12625.9,108.9,0.87,12625.4,12769.85,12581.45,12517.0,14118.4,6054.2,26.32,4.13,0.89,8,17,11.1,-6.31
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,23766.1,114.15,0.48,23773.25,24021.75,23725.05,23651.95,26975.15,22177.35,19.69,3.15,1.38,33,67,0.15,-9.35
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,12985.4,66.75,0.52,12990.65,13129.2,12964.55,12918.65,14700.95,11941.45,21.05,3.28,1.29,73,127,1.34,-9.07
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,21327.9,102.1,0.48,21349.95,21558.0,21294.85,21225.8,24144.2,19519.85,21.53,3.3,1.22,206,294,1.22,-8.84
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,15572.6,114.6,0.74,15572.4,15759.05,15549.15,15458.0,17572.45,13269.65,29.8,4.12,0.89,17,33,7.55,-7.92
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,54855.5,363.2,0.67,54903.35,55560.35,54768.55,54492.3,61548.85,46966.6,30.32,3.96,0.89,40,60,7.26,-7.83
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,15718.6,14.35,0.09,15829.7,15929.1,15694.9,15704.25,19224.95,14084.3,27.99,3.39,0.77,46,54,-0.88,-7.55
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,22.81,0.01,0.04,22.8,23.14,21.69,22.8,24.49,8.72,0,0,0,,,81.03,58.84
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,20226.9,117.95,0.59,20257.35,20484.7,20196.1,20108.95,22650.05,17269.5,29.96,4.07,0.9,64,86,6.75,-7.72
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,7683.4,-12.85,-0.17,7763.15,7808.45,7669.25,7696.25,9282.7,6776.05,27.72,3.41,0.77,25,25,0.56,-7.8
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,14791.95,38.7,0.26,14870.9,14971.15,14775.1,14753.25,18077.35,13314.7,24.29,3.15,0.78,109,141,-0.87,-7.31
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,18208.55,86.5,0.48,18259.45,18436.35,18185.7,18122.05,20668.15,15832.85,27.77,3.7,0.86,173,227,4.05,-7.58
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,14735.65,66.65,0.45,14763.0,14899.5,14715.1,14669.0,17112.15,8254.5,22.74,3.34,1.11,206,294,1.6,-8.44
