indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,24085.7,96.55,0.4,24044.5,24108.2,23969.7,23989.15,26373.2,22182.55,20.69,3.16,1.2,18,32,-3.09,1.87
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,72258.5,459.85,0.64,71857.65,72294.65,71583.15,71798.65,73098.95,59896.1,19.42,3.62,1.27,18,36,7.85,4.3
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,57585.05,287.9,0.5,57434.05,57646.15,57222.4,57297.15,61764.85,49954.85,14.41,1.86,0.8,3,11,3.36,7.21
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26404.95,-37.35,-0.14,26477.4,26508.8,26348.15,26442.3,28562.5,23373.95,17.02,2.76,0.82,7,13,-0.18,4.19
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14575.8,71.9,0.5,14562.85,14627.75,14485.35,14503.9,14770.5,12046.2,30.23,4.87,0.55,7,18,11.78,2.87
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25141.8,111.9,0.45,25080.65,25154.7,25001.4,25029.9,26975.15,22720.45,20.44,3.24,1.21,36,68,-1.2,2.32
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13918.25,63.95,0.46,13883.9,13925.0,13845.4,13854.3,14700.95,12396.1,21.78,3.46,1.1,76,127,0.25,2.37
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23109.7,112.45,0.49,23048.7,23120.9,22990.95,22997.25,24144.2,20385.65,22.8,3.51,1.04,196,307,0.56,2.57
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17659.65,52.5,0.3,17656.25,17695.6,17565.85,17607.15,17859.1,14804.55,32.86,4.78,0.59,20,30,7.37,2.24
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,62123.35,321.3,0.52,61960.75,62152.15,61811.7,61802.05,62907.5,52032.85,29.65,4.82,0.63,40,59,6.41,2.57
