indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,24176.15,-150.5,-0.62,24233.65,24253.8,24126.65,24326.65,26373.2,22182.55,21.16,3.33,1.28,30,20,-0.4,0.75
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,71495.6,-357.3,-0.5,71776.4,71889.6,71423.9,71852.9,72037.6,59896.1,20.14,3.83,1.39,33,17,13.92,8.09
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,55310.55,-736.85,-1.31,55783.95,55797.7,55062.5,56047.4,61764.85,49954.85,14.14,1.91,1.05,8,6,1.74,-0.71
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26011.5,-438.0,-1.66,26344.35,26353.15,25953.8,26449.5,28562.5,23373.95,17.11,2.84,0.86,17,3,0.12,-0.16
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14491.75,-59.7,-0.41,14547.5,14590.6,14459.55,14551.45,14590.6,6054.2,32.35,4.95,0.61,15,10,20.93,9.62
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25168.6,-150.9,-0.6,25235.7,25247.15,25125.35,25319.5,26975.15,22720.45,20.96,3.41,1.3,63,37,1.99,2.03
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13920.75,-71.15,-0.51,13956.25,13962.9,13897.0,13991.9,14700.95,12396.1,22.84,3.63,1.18,119,81,4.46,3.34
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23115.65,-98.35,-0.42,23166.05,23185.65,23080.3,23214.0,24144.2,20385.65,23.65,3.67,1.11,289,211,5.83,4.42
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17628.2,10.65,0.06,17636.55,17686.3,17555.45,17617.55,17686.3,14804.55,34.76,4.8,0.6,25,25,16.75,8.75
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,61910.9,-92.25,-0.15,62039.15,62113.85,61766.35,62003.15,62113.85,52032.85,36.11,4.89,0.66,56,44,16.31,9.0
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,18737.0,41.35,0.22,18714.4,18795.8,18669.1,18695.65,19224.95,14986.0,31.74,3.65,0.64,55,45,15.78,13.3
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,16.84,0.22,1.32,16.62,17.43,16.16,16.62,28.91,8.72,0,0,0,,,-19.85,-14.52
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,22772.4,-32.55,-0.14,22824.5,22846.7,22728.0,22804.95,22846.7,19218.0,34.17,4.88,0.7,91,59,16.23,8.91
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,9174.55,5.95,0.06,9179.95,9208.25,9148.15,9168.6,9282.7,7338.35,29.65,3.47,0.66,28,22,17.64,13.56
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,17437.5,28.5,0.16,17416.4,17506.4,17389.95,17409.0,18077.35,14143.45,31.26,3.68,0.68,135,115,14.87,12.62
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,20817.45,-8.15,-0.04,20840.4,20886.3,20777.25,20825.6,20886.3,17390.85,33.13,4.39,0.69,226,174,15.7,10.14
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,16294.7,-45.45,-0.28,16319.65,16346.9,16267.95,16340.15,17112.15,8254.5,25.76,3.77,0.98,289,211,8.78,6.42
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16558.45,-60.25,-0.36,16599.35,16608.6,16531.0,16618.7,17095.2,8318.55,26.17,4.04,0.99,154,96,8.97,5.47
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,13017.9,-53.6,-0.41,13046.3,13059.0,12998.5,13071.5,13842.6,7145.35,23.81,3.66,1.09,435,315,6.19,4.79
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,24002.8,-20.65,-0.09,24054.15,24153.85,23975.35,24023.45,26476.9,8567.2,28.49,3.41,0.64,146,104,15.58,14.18
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,18152.45,-32.35,-0.18,18173.8,18212.25,18120.95,18184.8,18330.05,14479.0,27.75,3.9,0.88,289,211,11.07,7.88
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1559.6,-5.0,-0.32,1560.9,1564.25,1554.95,1564.6,1641.4,1346.5,23.7,3.79,1.19,87,63,0.0,3.66
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,27259.85,-80.1,-0.29,27244.8,27392.15,27082.6,27339.95,29179.1,22915.65,31.2,4.69,1.16,9,6,20.22,4.83
SECTORAL INDICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FINSRV25 50,28478.95,-438.45,-1.52,28829.85,28845.0,28428.8,28917.4,0.0,0.0,16.91,2.95,0.96,17,3,3.19,0.43
SECTORAL INDICES,NIFTY FMCG,NIFTY FMCG,51165.9,97.45,0.19,51107.55,51320.15,50756.85,51068.45,58485.05,45334.15,36.05,9,1.61,7,8,-8.67,7.26
SECTORAL INDICES,NIFTY IT,NIFTY IT,29394.2,350.7,1.21,29031.55,29490.6,28961.8,29043.5,40301.4,28288.05,19.73,5.38,3.7,2,8,-18.36,-6.88
SECTORAL INDICES,NIFTY MEDIA,NIFTY MEDIA,1472.8,0.6,0.04,1467.9,1481.65,1465.65,1472.2,1786.15,1245.05,30.92,1.55,1.19,4,6,-3.55,9.12
SECTORAL INDICES,NIFTY METAL,NIFTY METAL,13050.95,-114.45,-0.87,13156.0,13167.15,13030.4,13165.4,13256.2,8997.35,22.82,3.45,1.55,12,3,54.84,8.05
SECTORAL INDICES,NIFTY PHARMA,NIFTY PHARMA,24110.3,-25.2,-0.1,24043.45,24306.75,24030.65,24135.5,24306.75,21149.9,36.01,5.26,0.65,11,9,14.19,9.64
SECTORAL INDICES,NIFTY PSU BANK,NIFTY PSU BANK,8371.95,-264.65,-3.06,8612.05,8613.55,8320.35,8636.6,9918.65,6606.6,8.41,1.4,2.26,11,1,35.72,-3.95
SECTORAL INDICES,NIFTY PRIVATE BANK,NIFTY PVT BANK,26561.7,-220.15,-0.82,26642.0,26649.25,26414.95,26781.85,29748.45,23957.45,17.6,2.13,0.6,5,5,-2.19,-0.62
SECTORAL INDICES,NIFTY REALTY,NIFTY REALTY,823.6,-3.9,-0.47,827.35,829.3,820.2,827.5,1049.7,638.65,37.39,3.96,0.35,6,4,-2.39,10.44
SECTORAL INDICES,NIFTY HEALTHCARE INDEX,NIFTY HEALTHCARE,15416.8,25.7,0.17,15340.3,15521.65,15324.85,15391.1,15521.65,7249.7,39.17,5.77,0.55,11,9,12.56,9.51
SECTORAL INDICES,NIFTY CONSUMER DURABLES,NIFTY CONSR DURBL,37314.0,255.8,0.69,37055.5,37621.35,36427.2,37058.2,44426.55,21967.45,58.41,12.11,0.38,8,5,2.64,3.85
SECTORAL INDICES,NIFTY OIL & GAS,NIFTY OIL AND GAS,11598.85,-109.75,-0.94,11658.85,11661.85,11554.15,11708.6,13607.2,6645.9,9.73,1.59,2.26,12,3,4.47,4.16
SECTORAL INDICES,NIFTY MIDSMALL HEALTHCARE,NIFTY MIDSML HLTH,47641.05,78.2,0.16,47454.95,48076.1,47438.95,47562.85,48076.1,31279.6,44.64,5.87,0.4,13,17,18.73,11.64
SECTORAL INDICES,NIFTY FINANCIAL SERVICES EX-BANK,NIFTY FINSEREXBNK,32208.3,-194.05,-0.6,32405.8,32410.3,32157.5,32402.35,32654.2,23850.75,23.75,4.46,0.73,20,10,19.02,6.91
SECTORAL INDICES,NIFTY MIDSMALL FINANCIAL SERVICES,NIFTY MS FIN SERV,22278.25,-13.6,-0.06,22315.05,22344.45,22144.4,22291.85,22344.45,13363.1,29.97,3.36,0.5,16,14,39.4,10.99
SECTORAL INDICES,NIFTY MIDSMALL IT & TELECOM,NIFTY MS IT TELCM,8945.25,131.35,1.49,8819.55,8987.7,8792.35,8813.9,11536.7,7748.35,56.37,8.22,1.22,5,15,-3.37,5.14
SECTORAL INDICES,NIFTY CHEMICALS,NIFTY CHEMICALS,29632.0,54.35,0.18,29728.4,29873.95,29557.4,29577.65,31895.45,24851.65,47.53,4.36,0.58,10,10,2.36,11.06
SECTORAL INDICES,NIFTY500 HEALTHCARE,NIFTY500 HEALTH,19827.1,54.35,0.27,19726.1,19940.5,19710.45,19772.75,19940.5,16294.6,40.82,6.04,0.51,21,28,0.0,10.59
STRATEGY INDICES,NIFTY DIVIDEND OPPORTUNITIES 50,NIFTY DIV OPPS 50,6047.35,-51.25,-0.84,6089.0,6095.5,6039.3,6098.6,6584.65,5614.0,14.5,2.91,2.83,30,20,4.01,0.08
STRATEGY INDICES,NIFTY GROWTH SECTORS 15,NIFTY GROWSECT 15,11198.9,70.95,0.64,11099.25,11250.2,11059.55,11127.95,12852.45,10329.35,29.01,7.13,1.78,7,8,0.74,1.1
