indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,25935.15,67.85,0.26,25922.65,25989.45,25870.45,25867.3,26373.2,21743.65,22.73,3.53,1.24,23,27,9.79,0.72
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,69829.6,100.25,0.14,69941.75,69969.4,69614.15,69729.35,70833.65,56192.45,19.65,3.62,1.31,25,25,9.72,1.81
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,60626.4,-42.95,-0.07,60740.8,60797.55,60531.55,60669.35,61764.85,47702.9,16.32,2.16,0.97,12,2,20.95,2.39
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,28186.25,32.2,0.11,28238.15,28263.95,28140.5,28154.05,28275.2,22842.6,18.07,2.97,0.83,14,6,19.6,2.82
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13953.1,84.45,0.61,13966.65,13970.8,13890.45,13868.65,14118.4,5520.25,29.96,4.6,0.79,14,11,15.46,1.4
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,26552.1,64.3,0.24,26548.4,26601.05,26488.7,26487.8,26975.15,22177.35,22.16,3.54,1.26,48,52,9.79,0.89
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14483.45,41.55,0.29,14481.25,14507.7,14443.6,14441.9,14700.95,11941.45,23.62,3.68,1.17,97,103,10.3,0.94
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23753.75,70.35,0.3,23752.6,23796.4,23691.5,23683.4,24144.2,19519.85,24.13,3.69,1.12,230,268,9.41,0.92
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17303.95,54.8,0.32,17344.1,17346.45,17249.9,17249.15,17572.45,13269.65,33.83,4.61,0.81,27,23,14.92,0.89
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,60735.9,294.75,0.49,60723.0,60819.7,60442.4,60441.15,61548.85,46865.7,33.47,4.42,0.81,49,51,12.74,1.16
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,17451.2,65.3,0.38,17447.3,17508.85,17397.2,17385.9,19224.95,14084.3,31.26,3.77,0.72,48,52,2.23,0.6
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,11.67,-0.52,-4.3,12.19,12.19,10.36,12.19,23.19,8.72,0,0,0,,,-10.92,11.53
