indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,25424.65,-288.35,-1.12,25641.8,25641.8,25327.6,25713.0,26373.2,21743.65,22.5,3.5,1.21,32,18,12.73,1.5
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,69778.45,55.35,0.08,69498.35,69948.1,69108.55,69723.1,70833.65,56192.45,19.49,3.62,1.34,17,33,16.78,5.31
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,61047.3,-216.95,-0.35,61392.1,61435.65,60801.85,61264.25,61764.85,47702.9,16.49,2.19,0.96,7,7,25.48,4.4
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,28295.1,-159.9,-0.56,28494.6,28494.6,28208.65,28455.0,28562.5,22855.6,18.17,3,0.83,13,7,23.05,5.49
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13448.65,-29.1,-0.22,13440.6,13483.55,13305.45,13477.75,14118.4,5520.25,28.26,4.45,0.83,9,16,20.87,2.92
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,26112.2,-243.2,-0.92,26280.45,26280.45,25988.0,26355.4,26975.15,22177.35,21.94,3.51,1.23,49,51,13.42,2.12
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14214.45,-116.55,-0.81,14290.45,14290.45,14134.65,14331.0,14700.95,11941.45,23.36,3.64,1.16,98,102,14.2,2.34
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23304.6,-180.35,-0.77,23418.1,23418.1,23168.05,23484.95,24144.2,19519.85,23.82,3.65,1.11,299,199,13.86,2.64
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,16718.75,-53.65,-0.32,16720.8,16758.0,16548.95,16772.4,17572.45,13269.65,32.29,4.47,0.82,21,29,19.23,2.27
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,59066.35,-189.3,-0.32,59091.45,59199.35,58489.15,59255.65,61548.85,46865.7,32.94,4.31,0.82,49,51,18.1,3.36
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,16958.65,-93.3,-0.55,17005.75,17024.6,16842.0,17051.95,19224.95,14084.3,30.36,3.69,0.75,67,33,9.57,3.71
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,14.15,-0.02,-0.12,14.17,14.95,12.35,14.17,23.19,8.72,0,0,0,,,-2.01,-0.28
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,21820.2,-61.9,-0.28,21820.3,21864.35,21611.2,21882.1,22650.05,17269.5,32.59,4.43,0.83,80,70,17.92,3.86
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8334.0,-30.9,-0.37,8337.9,8361.25,8275.55,8364.9,9282.7,6776.05,30.13,3.71,0.77,29,21,11.69,4.38
