indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,24170.75,-155.9,-0.64,24233.65,24253.8,24138.4,24326.65,26373.2,22182.55,21.16,3.33,1.28,30,20,-0.42,0.72
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,71560.2,-292.7,-0.41,71776.4,71889.6,71452.6,71852.9,72037.6,59896.1,20.14,3.83,1.39,32,18,14.02,8.19
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,55417.8,-629.6,-1.12,55783.95,55797.7,55367.25,56047.4,61764.85,49954.85,14.14,1.91,1.05,11,3,1.94,-0.51
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26109.5,-340.0,-1.29,26344.35,26353.15,26085.0,26449.5,28562.5,23373.95,17.11,2.84,0.86,18,2,0.5,0.22
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14490.95,-60.5,-0.42,14547.5,14590.6,14459.55,14551.45,14577.2,5520.25,32.35,4.95,0.61,15,10,20.93,9.61
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25168.3,-151.2,-0.6,25235.7,25247.15,25133.95,25319.5,26975.15,22720.45,20.96,3.41,1.3,62,38,1.99,2.03
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13919.4,-72.5,-0.52,13956.25,13962.9,13900.15,13991.9,14700.95,12396.1,22.84,3.63,1.18,120,80,4.45,3.33
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23117.1,-96.9,-0.42,23166.05,23185.65,23080.3,23214.0,24144.2,20385.65,23.65,3.67,1.11,281,219,5.83,4.43
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17623.75,6.2,0.04,17636.55,17686.3,17555.45,17617.55,17644.1,14783.9,34.76,4.8,0.6,26,24,16.72,8.72
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,61883.2,-119.95,-0.19,62039.15,62113.85,61766.35,62003.15,62094.4,52032.85,36.11,4.89,0.66,58,42,16.26,8.95
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,18756.9,61.25,0.33,18714.4,18795.8,18669.1,18695.65,19224.95,14986.0,31.74,3.65,0.64,55,45,15.9,13.42
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,17.04,0.42,2.54,16.62,17.43,16.16,16.62,28.91,8.72,0,0,0,,,-18.9,-13.5
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,22767.7,-37.25,-0.16,22824.5,22846.7,22728.0,22804.95,22836.9,19165.1,34.17,4.88,0.7,87,63,16.21,8.89
