indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,25713.0,141.75,0.55,25678.4,25771.45,25609.35,25571.25,26373.2,21743.65,22.5,3.5,1.21,16,35,12.8,2.65
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,69723.1,269.45,0.39,69844.8,70042.95,69417.85,69453.65,70833.65,56192.45,19.49,3.62,1.34,19,31,15.31,5.23
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,61264.25,92.25,0.15,61145.55,61517.8,61029.15,61172.0,61764.85,47702.9,16.49,2.19,0.96,4,10,25.08,4.77
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,28455.0,244.4,0.87,28360.0,28562.5,28329.4,28210.6,28562.5,22855.6,18.17,3,0.83,6,14,22.79,6.09
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13477.75,1.75,0.01,13560.4,13582.9,13422.5,13476.0,14118.4,5520.25,28.26,4.45,0.83,11,14,20.35,3.15
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,26355.4,138.1,0.53,26333.4,26425.25,26249.15,26217.3,26975.15,22177.35,21.94,3.51,1.23,35,66,13.24,3.07
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14331.0,50.15,0.35,14336.85,14380.45,14274.75,14280.85,14700.95,11941.45,23.36,3.64,1.16,81,120,13.92,3.18
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23484.95,89.95,0.38,23493.3,23566.85,23394.25,23395.0,24144.2,19519.85,23.82,3.65,1.11,205,293,13.51,3.43
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,16772.4,-139.95,-0.83,16912.65,16925.0,16710.05,16912.35,17572.45,13269.65,32.29,4.47,0.82,25,25,18.6,2.6
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,59255.65,-258.3,-0.43,59612.8,59698.5,59014.3,59513.95,61548.85,46865.7,32.94,4.31,0.82,46,54,17.37,3.69
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,17051.95,49.8,0.29,17119.55,17202.3,16984.9,17002.15,19224.95,14084.3,30.36,3.69,0.75,50,48,9.05,4.28
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,14.17,-0.19,-1.35,14.36,14.48,12.77,14.36,23.19,8.72,0,0,0,,,-2.48,-0.14
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,21882.1,-36.1,-0.16,21970.55,22012.5,21781.95,21918.2,22650.05,17269.5,32.59,4.43,0.83,58,92,17.13,4.16
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8364.9,31.25,0.37,8393.7,8432.45,8326.35,8333.65,9282.7,6776.05,30.13,3.71,0.77,23,26,10.88,4.76
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,16027.95,69.15,0.43,16056.55,16128.25,15958.65,15958.8,18077.35,13314.7,26.36,3.42,0.74,112,135,9.16,4.66
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,19709.2,7.2,0.04,19773.85,19828.2,19620.7,19702.0,20668.15,15832.85,30.18,4.03,0.8,170,227,14.31,4.33
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,16146.65,53.0,0.33,16163.35,16215.1,16083.85,16093.65,17112.15,5531.55,25.02,3.68,1.01,205,293,13.28,3.73
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16600.15,29.9,0.18,16626.7,16669.65,16534.5,16570.25,17095.2,5635.2,26.22,3.92,1.03,93,158,15.22,3.61
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,13166.7,49.3,0.38,13173.4,13215.85,13116.75,13117.4,13842.6,6252.1,23.88,3.61,1.1,344,404,13.17,3.51
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,21709.7,30.65,0.14,21810.95,21943.15,21653.5,21679.05,26476.9,5802.95,25.5,2.76,0.8,139,111,4.58,5.77
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,17667.45,46.4,0.26,17696.75,17753.0,17595.4,17621.05,18838.1,14014.4,26.26,3.74,0.94,205,293,13.25,3.95
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1585.85,5.0,0.32,1587.6,1591.7,1579.55,1580.85,1641.4,1346.5,24.27,3.84,1.18,62,89,0.0,2.39
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,28077.0,230.2,0.83,27974.05,28159.3,27913.95,27846.8,29179.1,19316.65,33.19,4.81,1.13,1,14,30.55,4.75
SECTORAL INDICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FINSRV25 50,30821.35,224.85,0.73,30757.4,30949.35,30714.8,30596.5,0.0,0.0,17.91,3.11,0.93,6,14,23.99,5.24
SECTORAL INDICES,NIFTY FMCG,NIFTY FMCG,52136.35,363.65,0.7,51905.7,52186.2,51801.45,51772.7,58485.05,49336.5,37.69,9.35,1.57,2,14,0.07,0.92
SECTORAL INDICES,NIFTY IT,NIFTY IT,31550.5,-453.55,-1.42,31987.8,32051.7,31416.55,32004.05,40301.4,30918.95,22.42,5.85,3.36,9,1,-22.18,-17.49
SECTORAL INDICES,NIFTY MEDIA,NIFTY MEDIA,1429.6,2.8,0.2,1430.4,1435.8,1415.0,1426.8,1786.15,1313.85,30.01,1.5,1.26,6,4,-4.21,5.77
SECTORAL INDICES,NIFTY METAL,NIFTY METAL,11962.75,-27.2,-0.23,12109.8,12112.9,11875.3,11989.95,12509.75,7690.2,20.29,3.11,1.54,10,4,38.95,4.23
SECTORAL INDICES,NIFTY PHARMA,NIFTY PHARMA,22578.55,126.15,0.56,22558.8,22608.75,22450.0,22452.4,23492.55,19121.1,33.79,4.92,0.7,7,13,10.76,3.94
SECTORAL INDICES,NIFTY PSU BANK,NIFTY PSU BANK,9796.85,131.05,1.36,9724.9,9846.8,9699.55,9665.8,9846.8,5530.35,9.72,1.6,1.96,2,10,64.08,11.57
SECTORAL INDICES,NIFTY PRIVATE BANK,NIFTY PVT BANK,29008.05,99.45,0.34,28927.55,29141.45,28913.2,28908.6,29748.45,23783.15,20.31,2.29,0.54,4,6,18.51,3.59
SECTORAL INDICES,NIFTY REALTY,NIFTY REALTY,819.15,-1.55,-0.19,824.45,828.65,814.0,820.7,1049.7,742.2,36.89,3.96,0.36,5,5,-3.0,8.3
SECTORAL INDICES,NIFTY HEALTHCARE INDEX,NIFTY HEALTHCARE,14632.6,71.85,0.49,14635.05,14649.05,14560.75,14560.75,15144.95,6482.8,37.16,5.49,0.58,7,13,11.55,4.84
SECTORAL INDICES,NIFTY CONSUMER DURABLES,NIFTY CONSR DURBL,37492.2,-96.15,-0.26,37805.45,37819.65,37395.45,37588.35,44426.55,14089.55,59.66,11.75,0.39,9,6,5.64,9.77
SECTORAL INDICES,NIFTY OIL & GAS,NIFTY OIL AND GAS,12151.15,58.85,0.49,12149.6,12169.4,12076.45,12092.3,13607.2,4632.7,10.27,1.66,2.13,5,10,20.62,7.47
SECTORAL INDICES,NIFTY MIDSMALL HEALTHCARE,NIFTY MIDSML HLTH,43002.65,439.25,1.03,42758.55,43040.8,42680.0,42563.4,46103.35,20019.15,40.27,5.25,0.44,9,21,12.81,3.47
SECTORAL INDICES,NIFTY FINANCIAL SERVICES EX-BANK,NIFTY FINSEREXBNK,31980.7,123.3,0.39,32037.0,32236.85,31888.6,31857.4,32654.2,21702.4,24,4.5,0.79,11,19,26.69,4.88
SECTORAL INDICES,NIFTY MIDSMALL FINANCIAL SERVICES,NIFTY MS FIN SERV,20723.25,-157.2,-0.75,20862.95,20938.9,20639.6,20880.45,21300.0,12407.95,28.86,2.98,0.64,14,16,41.72,2.57
SECTORAL INDICES,NIFTY MIDSMALL IT & TELECOM,NIFTY MS IT TELCM,8838.2,-134.2,-1.5,8988.2,8990.35,8787.15,8972.4,11723.2,7836.0,62.84,8.65,1.23,14,6,-6.71,-9.12
