indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,25727.55,639.15,2.55,26308.05,26341.2,25641.3,25088.4,26373.2,21743.65,22.35,3.5,1.26,4,46,6.84,-4.71
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,68849.4,1776.2,2.65,69488.65,69884.15,68446.95,67073.2,70833.65,56192.45,19.97,3.57,1.38,3,47,5.62,-4.75
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,60041.3,1422.3,2.43,61411.2,61764.85,59793.2,58619.0,61764.85,47702.9,16.24,2.14,0.98,0,14,18.41,-2.55
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,27674.05,875.05,3.27,28125.85,28275.2,27546.95,26799.0,28275.2,22819.9,17.85,2.92,0.83,1,19,15.66,-3.94
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13655.65,398.6,3.01,13857.8,13968.0,13585.95,13257.05,14118.4,5520.25,28.74,4.5,0.82,2,23,11.74,-5.2
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,26313.2,657.85,2.56,26849.75,26893.85,26216.5,25655.35,26975.15,22177.35,21.92,3.51,1.28,7,93,6.65,-4.72
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14314.45,364.7,2.61,14584.9,14613.55,14261.25,13949.75,14700.95,11941.45,23.29,3.63,1.19,16,184,6.84,-4.96
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23446.3,609.3,2.67,23870.2,23912.35,23355.5,22837.0,24144.2,19519.85,23.86,3.64,1.14,49,450,5.82,-5.24
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17013.2,463.9,2.8,17221.15,17368.85,16944.2,16549.3,17572.45,13269.65,32.65,4.53,0.81,3,47,10.88,-5.46
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,59307.1,1639.5,2.84,60026.8,60456.8,59034.7,57667.6,61548.85,46865.7,32.42,4.31,0.81,9,91,7.82,-6.03
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,16988.95,465.6,2.82,17295.6,17366.1,16938.75,16523.35,19224.95,14084.3,30.29,3.67,0.74,12,87,-2.69,-7.34
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,12.9,-0.97,-6.99,13.87,15.47,11.85,13.87,23.19,8.72,,,,,,-1.6,46.77
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,21869.85,620.5,2.92,22110.25,22233.85,21753.75,21249.35,22650.05,17269.5,32.24,4.42,0.81,12,138,7.46,-5.89
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8268.15,243.4,3.03,8420.0,8471.1,8238.9,8024.75,9282.7,6776.05,30.05,3.66,0.79,7,43,-1.43,-7.3
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,15962.45,455.3,2.94,16204.15,16225.45,15880.9,15507.15,18077.35,13314.7,27.5,3.41,0.73,30,219,-2.81,-7.67
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,19674.7,559.2,2.93,19918.45,19997.75,19580.3,19115.5,20668.15,15832.85,30.47,4.02,0.79,42,357,3.78,-6.5
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,16115.2,430.45,2.74,16385.05,16415.5,16051.2,15684.75,17112.15,5531.55,25.2,3.67,1.03,49,450,4.6,-5.75
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16582.2,442.45,2.74,16842.5,16884.85,16509.55,16139.75,17095.2,5635.2,26.09,3.91,1.05,19,231,7.14,-5.3
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,13147.4,346.35,2.71,13382.5,13404.5,13094.05,12801.05,13842.6,6252.1,23.9,3.6,1.13,76,673,5.29,-5.33
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,21783.1,781.55,3.72,22058.8,22062.7,21580.65,21001.55,26476.9,5802.95,25.11,2.78,0.81,27,223,-7.85,-7.89
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,17630.9,481.05,2.8,17904.5,17940.8,17557.6,17149.85,18838.1,14014.4,26.54,3.73,0.94,49,450,3.86,-6.09
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1594.35,40.75,2.62,1624.45,1626.75,1588.65,1553.6,1641.4,1346.5,24.47,3.87,1.2,13,137,0.0,-5.21
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,27500.3,751.15,2.81,28088.1,28095.85,27271.8,26749.15,29179.1,19316.65,29.55,4.71,1.15,0,15,14.78,-7.13
SECTORAL INDICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FINSRV25 50,30192.3,935.25,3.2,30659.1,30824.95,30067.65,29257.05,0.0,0.0,17.75,3.05,0.92,1,19,17.79,-4.31
SECTORAL INDICES,NIFTY FMCG,NIFTY FMCG,50806.65,183.45,0.36,51534.7,51840.25,50505.55,50623.2,58485.05,49336.5,36.74,9.17,2.2,4,11,-13.31,-4.63
SECTORAL INDICES,NIFTY IT,NIFTY IT,38611.75,537.6,1.41,40301.4,40301.4,38550.5,38074.15,43133.35,30918.95,27.43,7.16,2.74,1,9,-9.41,-0.64
SECTORAL INDICES,NIFTY MEDIA,NIFTY MEDIA,1381.7,20.35,1.49,1409.25,1410.85,1376.0,1361.35,1786.15,1313.85,29.61,1.45,1.4,3,7,-15.71,-6.94
SECTORAL INDICES,NIFTY METAL,NIFTY METAL,11893.2,331.65,2.87,11984.55,12041.35,11746.25,11561.55,12509.75,7690.2,21.16,3.1,1.54,1,14,39.32,1.22
SECTORAL INDICES,NIFTY PHARMA,NIFTY PHARMA,22200.25,650.7,3.02,22470.35,22564.1,22086.05,21549.55,23492.55,19121.1,33.58,4.84,0.66,2,18,1.01,-5.45
SECTORAL INDICES,NIFTY PSU BANK,NIFTY PSU BANK,8819.6,227.9,2.65,8996.7,9099.9,8701.8,8591.7,9175.55,5530.35,8.82,1.44,2.18,0,12,38.2,-1.24
SECTORAL INDICES,NIFTY PRIVATE BANK,NIFTY PVT BANK,28911.85,706.2,2.5,29529.35,29748.45,28828.45,28205.65,29748.45,23783.15,20.25,2.28,0.54,0,10,15.48,-2.41
SECTORAL INDICES,NIFTY REALTY,NIFTY REALTY,815.3,37.3,4.79,808.15,824.5,806.05,778.0,1049.7,742.2,36.7,3.94,0.37,1,9,-18.32,-13.44
SECTORAL INDICES,NIFTY HEALTHCARE INDEX,NIFTY HEALTHCARE,14227.0,435.2,3.16,14367.4,14400.45,14127.2,13791.8,15144.95,6482.8,36.61,5.34,0.55,1,19,0.12,-6.34
SECTORAL INDICES,NIFTY CONSUMER DURABLES,NIFTY CONSR DURBL,35446.2,1048.25,3.05,35859.7,35970.3,35319.75,34397.95,44426.55,14089.55,58.88,11.11,0.41,2,13,-11.13,-7.63
SECTORAL INDICES,NIFTY OIL & GAS,NIFTY OIL AND GAS,11911.25,223.75,1.91,12094.85,12172.7,11769.45,11687.5,13607.2,4632.7,10.76,1.64,2.7,3,12,11.97,-5.29
SECTORAL INDICES,NIFTY MIDSMALL HEALTHCARE,NIFTY MIDSML HLTH,42043.95,858.55,2.08,42770.5,42770.5,41973.3,41185.4,46103.35,20019.15,39.63,5.13,0.45,7,23,1.88,-6.9
SECTORAL INDICES,NIFTY FINANCIAL SERVICES EX-BANK,NIFTY FINSEREXBNK,31299.55,1147.7,3.81,31571.2,31948.95,31204.15,30151.85,32654.2,21702.4,23.82,4.41,0.77,2,28,20.26,-6.89
SECTORAL INDICES,NIFTY MIDSMALL FINANCIAL SERVICES,NIFTY MS FIN SERV,20630.95,580.75,2.9,20940.9,21233.05,20559.95,20050.2,21299.4,12407.95,29.45,2.97,0.64,1,29,32.94,-4.32
SECTORAL INDICES,NIFTY MIDSMALL IT & TELECOM,NIFTY MS IT TELCM,10020.6,236.65,2.42,10192.95,10243.65,9947.9,9783.95,11723.2,7836.0,60.49,9.8,1.08,2,18,-4.85,-4.55
SECTORAL INDICES,NIFTY CHEMICALS,NIFTY CHEMICALS,28378.05,1049.0,3.84,28654.45,28886.2,28194.3,27329.05,31895.45,25227.25,38.35,4.19,0.61,2,17,0.0,-5.94
SECTORAL INDICES,NIFTY500 HEALTHCARE,NIFTY500 HEALTH,18065.05,485.55,2.76,18278.0,18302.5,17969.45,17579.5,19594.1,16294.6,37.67,5.46,0.54,8,42,0.0,-6.74
STRATEGY INDICES,NIFTY DIVIDEND OPPORTUNITIES 50,NIFTY DIV OPPS 50,6432.55,116.85,1.85,6583.65,6584.65,6379.15,6315.7,6584.65,5288.6,15.07,2.99,2.83,5,45,3.54,-1.56
STRATEGY INDICES,NIFTY GROWTH SECTORS 15,NIFTY GROWSECT 15,12238.6,244.45,2.04,12553.35,12555.85,12183.3,11994.15,12852.45,9722.65,32.02,7.28,1.73,1,14,0.78,-5.27
STRATEGY INDICES,NIFTY100 QUALITY 30,NIFTY100 QUALTY30,5804.1,79.0,1.38,5945.0,5946.0,5778.0,5725.1,0.0,0.0,31.65,7.98,1.79,6,24,3.15,-2.65
STRATEGY INDICES,NIFTY50 VALUE 20,NIFTY50 VALUE 20,13334.75,286.25,2.19,13670.2,13684.4,13263.85,13048.5,13684.4,11375.5,17.44,3.07,1.95,1,19,-0.82,-1.92
