indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,23989.15,135.25,0.57,23923.9,24002.6,23888.2,23853.9,26373.2,22182.55,20.57,3.14,1.21,20,30,-3.84,1.46
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,71798.65,113.4,0.16,71840.65,71868.6,71387.75,71685.25,73098.95,59896.1,19.39,3.62,1.27,21,33,6.41,3.64
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,57297.15,98.35,0.17,57320.1,57399.7,57076.25,57198.8,61764.85,49954.85,14.39,1.86,0.8,7,7,2.42,6.68
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26442.3,167.5,0.64,26325.65,26460.1,26306.75,26274.8,28562.5,23373.95,16.91,2.74,0.82,5,15,-0.42,4.33
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14503.9,77.55,0.54,14492.75,14518.9,14395.7,14426.35,14770.5,12046.2,30.07,4.84,0.55,8,17,10.65,2.36
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25029.9,122.05,0.49,24977.35,25044.95,24932.7,24907.85,26975.15,22720.45,20.34,3.22,1.22,41,63,-2.06,1.86
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13854.3,65.4,0.47,13830.1,13861.85,13795.1,13788.9,14700.95,12396.1,21.67,3.45,1.1,76,128,-0.68,1.9
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,22997.25,105.95,0.46,22962.45,23009.4,22902.35,22891.3,24144.2,20385.65,22.7,3.5,1.05,208,296,-0.42,2.07
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17607.15,105.25,0.6,17570.75,17615.95,17483.7,17501.9,17859.1,14804.55,32.67,4.75,0.59,16,34,6.42,1.93
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,61802.05,252.4,0.41,61783.0,61838.0,61408.15,61549.65,62907.5,52032.85,29.53,4.8,0.63,35,65,5.16,2.04
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,18477.75,77.75,0.42,18468.7,18520.2,18384.85,18400.0,19224.95,14986.0,31.13,3.58,0.65,44,56,-0.39,3.33
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,13.36,-0.99,-6.89,14.35,14.35,13.01,14.35,28.91,8.72,0,0,0,,,-9.97,-28.9
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,22671.4,86.3,0.38,22664.65,22687.6,22541.75,22585.1,23007.1,19218.0,28.9,4.76,0.67,57,93,4.99,1.86
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,9114.6,41.1,0.45,9106.7,9138.55,9073.9,9073.5,9282.7,7338.35,30.71,3.43,0.67,23,27,1.98,3.28
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,17369.25,76.55,0.44,17368.65,17409.45,17294.75,17292.7,18077.35,14143.45,34.24,3.66,0.67,110,140,0.42,3.87
