indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,23306.45,394.05,1.72,23064.4,23465.35,23063.2,22912.4,26373.2,21743.65,20.05,3.11,1.36,4,46,-1.53,-8.54
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,63620.6,1259.9,2.02,63051.4,64038.45,62975.25,62360.7,70833.65,57250.25,17.43,3.23,1.53,2,48,1.46,-9.63
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,53708.1,1102.45,2.1,53024.75,54146.15,53024.75,52605.65,61764.85,49156.95,14.09,1.84,1.11,0,14,4.07,-12.02
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,25056.35,574.15,2.35,24690.9,25213.4,24689.2,24482.2,28562.5,23546.5,15.64,2.58,0.96,0,20,-0.12,-11.59
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,12788.3,255.9,2.04,12663.95,12866.0,12651.15,12532.4,14118.4,5520.25,26.35,4.13,0.89,1,24,10.42,-5.68
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,23915.15,415.85,1.77,23672.5,24072.6,23672.05,23499.3,26975.15,22177.35,19.56,3.13,1.39,6,94,-1.01,-8.72
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,13072.6,239.7,1.87,12934.0,13157.6,12933.65,12832.9,14700.95,11941.45,20.91,3.25,1.29,12,188,0.24,-8.38
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,21478.2,411.2,1.95,21236.25,21612.45,21236.05,21067.0,24144.2,19519.85,21.37,3.27,1.23,47,452,0.19,-8.23
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,15731.45,319.7,2.07,15556.55,15827.6,15543.45,15411.75,17572.45,13269.65,29.72,4.1,0.85,4,46,7.31,-6.52
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,55331.05,1244.05,2.3,54633.5,55688.5,54591.15,54087.0,61548.85,46966.6,30.09,3.93,0.86,6,94,6.47,-6.86
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,15896.55,401.35,2.59,15665.6,15985.75,15621.9,15495.2,19224.95,14084.3,27.61,3.35,0.77,12,88,-1.32,-7.14
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,24.64,-0.1,-0.4,24.74,25.23,24.14,24.74,27.17,8.72,0,0,0,,,80.65,82.65
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,20397.75,466.25,2.34,20121.85,20520.95,20110.75,19931.5,22650.05,17269.5,29.69,4.03,0.88,10,140,6.08,-7.11
