indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,25867.3,173.6,0.68,25888.7,25922.25,25780.9,25693.7,26373.2,21743.65,22.26,3.49,1.28,16,34,8.43,-1.85
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,69729.35,670.95,0.97,69436.45,69797.45,69107.35,69058.4,70833.65,56192.45,19.98,3.58,1.4,14,36,7.88,-2.19
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,60669.35,548.8,0.91,60805.2,60876.2,60495.7,60120.55,61764.85,47702.9,16.26,2.15,0.97,5,9,19.42,0.0
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,28154.05,346.95,1.25,28120.6,28162.8,28008.85,27807.1,28275.2,22842.6,17.95,2.93,0.85,7,13,17.51,-0.49
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13868.65,223.75,1.64,13738.55,13886.65,13717.8,13644.9,14118.4,5520.25,29.42,4.5,0.82,1,24,12.83,-2.24
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,26487.8,190.5,0.72,26487.75,26508.15,26380.4,26297.3,26975.15,22177.35,21.85,3.51,1.3,30,70,8.35,-1.91
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14441.9,125.9,0.88,14418.0,14448.15,14374.85,14316.0,14700.95,11941.45,23.28,3.63,1.21,40,159,8.6,-2.05
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23683.4,249.4,1.06,23600.85,23693.05,23535.4,23434.0,24144.2,19519.85,23.74,3.64,1.15,80,418,7.57,-2.4
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17249.15,225.85,1.33,17128.65,17266.2,17084.05,17023.3,17572.45,13269.65,33.37,4.54,0.81,7,43,12.32,-2.56
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,60441.15,938.45,1.58,59896.2,60498.05,59767.55,59502.7,61548.85,46865.7,32.96,4.33,0.81,10,89,9.82,-2.69
