indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,25953.85,18.7,0.07,25997.45,26009.4,25899.8,25935.15,26373.2,21743.65,22.74,3.53,1.24,26,23,10.08,0.98
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,70216.55,386.95,0.55,70049.0,70386.15,69740.75,69829.6,70833.65,56192.45,19.76,3.64,1.3,22,28,9.88,1.95
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,60745.35,118.95,0.2,60670.25,60779.95,60444.65,60626.4,61764.85,47702.9,16.35,2.17,0.96,8,6,20.87,2.32
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,28276.95,90.7,0.32,28226.65,28287.05,28146.2,28186.25,28287.05,22842.6,18.1,2.98,0.83,8,11,19.74,2.94
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13952.8,-0.3,0.0,13969.4,13977.4,13900.2,13953.1,14118.4,5520.25,29.67,4.6,0.92,10,15,16.16,2.02
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,26592.3,40.2,0.15,26619.1,26626.15,26524.35,26552.1,26975.15,22177.35,22.19,3.55,1.25,48,51,10.06,1.14
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14502.15,18.7,0.13,14516.6,14519.25,14459.4,14483.45,14700.95,11941.45,23.64,3.68,1.18,99,99,10.62,1.23
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23783.05,29.3,0.12,23808.1,23811.15,23707.15,23753.75,24144.2,19519.85,24.13,3.7,1.13,269,228,9.74,1.22
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17330.05,26.1,0.15,17325.2,17349.55,17250.35,17303.95,17572.45,13269.65,33.66,4.62,0.89,22,27,15.28,1.21
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,60754.55,18.65,0.03,60812.1,60815.2,60431.65,60735.9,61548.85,46865.7,33.33,4.42,0.87,51,48,13.29,1.65
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,17455.0,3.8,0.02,17482.3,17483.25,17362.1,17451.2,19224.95,14084.3,31.01,3.77,0.73,58,42,2.61,0.98
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,11.55,-0.12,-1.0,11.67,11.71,10.56,11.67,23.19,8.72,0,0,0,,,-14.72,6.77
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,22364.4,4.65,0.02,22393.4,22393.85,22249.5,22359.75,22650.05,17269.5,32.98,4.52,0.87,79,70,12.82,1.7
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8517.0,-2.5,-0.03,8532.85,8533.15,8470.0,8519.5,9282.7,6776.05,30.55,3.77,0.76,28,22,3.72,1.0
